Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Bulb Switcher,100.0,0.5401742923959436,https://leetcode.com/problems/bulb-switcher,"Math, Brainteaser"
EASY,Happy Number,100.0,0.5798140708357802,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Two Sum,96.9,0.556802288895311,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Climbing Stairs,90.6,0.5350776654415267,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Best Time to Buy and Sell Stock,89.1,0.5515732158263981,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Palindrome Number,87.5,0.5914910810992986,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Rotate Array,84.0,0.42910574475789504,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Roman to Integer,82.1,0.6475828604445478,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Maximum Subarray,79.9,0.5204000798978297,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Delete and Earn,79.9,0.5670287119375216,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
EASY,Sum of Values at Indices With K Set Bits,77.6,0.8570723700772337,https://leetcode.com/problems/sum-of-values-at-indices-with-k-set-bits,"Array, Bit Manipulation"
EASY,Find Subsequence of Length K With the Largest Sum,77.6,0.4537111289316582,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum,"Array, Hash Table, Sorting, Heap (Priority Queue)"
EASY,Maximum Area of Longest Diagonal Rectangle,77.6,0.3648607865623895,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Array
EASY,Ant on the Boundary,77.6,0.736915413489459,https://leetcode.com/problems/ant-on-the-boundary,"Array, Simulation, Prefix Sum"
EASY,Count Tested Devices After Test Operations,77.6,0.7836762312909826,https://leetcode.com/problems/count-tested-devices-after-test-operations,"Array, Simulation, Counting"
EASY,Permutation Difference between Two Strings,77.6,0.8717403736179946,https://leetcode.com/problems/permutation-difference-between-two-strings,"Hash Table, String"
EASY,Minimum Right Shifts to Sort the Array,77.6,0.5665484034465281,https://leetcode.com/problems/minimum-right-shifts-to-sort-the-array,Array
MEDIUM,Reverse Integer,75.1,0.3022439454160713,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Longest Palindromic Substring,75.1,0.35744297432149286,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
