Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Climbing Stairs,100.0,0.5341042560232687,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Replace the Substring for Balanced String,100.0,0.39249187112030737,https://leetcode.com/problems/replace-the-substring-for-balanced-string,"String, Sliding Window"
EASY,Two Sum,93.9,0.5533888042849439,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,86.0,0.3654417753337983,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,86.0,0.4202381293435973,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Longest Common Prefix,74.9,0.45102440714743913,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
HARD,Trapping Rain Water,74.9,0.6456514616355924,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Binary Tree Right Side View,74.9,0.6618896276460269,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Reverse Vowels of a String,74.9,0.574555653791043,https://leetcode.com/problems/reverse-vowels-of-a-string,"Two Pointers, String"
MEDIUM,Longest Palindromic Substring,74.9,0.3549137957935394,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Merge Operations to Turn Array Into a Palindrome,74.9,0.6901474557046192,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome,"Array, Two Pointers, Greedy"
