Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Product Subarray,100.0,0.3486281675643797,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Top K Frequent Elements,100.0,0.644782438295235,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Top K Frequent Words,100.0,0.5922245130298947,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
HARD,Longest Increasing Path in a Matrix,100.0,0.5526953348263627,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
MEDIUM,LRU Cache,100.0,0.4507740482370975,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Integer to Roman,86.3,0.6848143011543089,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,String to Integer (atoi),86.3,0.19126865041474236,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Shopping Offers,86.3,0.5186833920490559,https://leetcode.com/problems/shopping-offers,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
HARD,Word Ladder,86.3,0.4262824499733852,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
HARD,Minimum Window Substring,86.3,0.45221010150326635,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Rotting Oranges,86.3,0.5647287166469382,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
EASY,Split the Array,86.3,0.5913030444634497,https://leetcode.com/problems/split-the-array,"Array, Hash Table, Counting"
MEDIUM,Product of Array Except Self,86.3,0.6771203598711605,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Course Schedule,86.3,0.4907905166737925,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Best Time to Buy and Sell Stock,86.3,0.551572471927809,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Repeating Character Replacement,86.3,0.5705296368548191,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
