Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Insert Delete GetRandom O(1),100.0,0.5496804711110049,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Shortest Uncommon Substring in an Array,81.4,0.4735854528086246,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,"Array, Hash Table, String, Trie"
MEDIUM,Group Anagrams,77.0,0.7056684024938972,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Parse Lisp Expression,75.3,0.5239227785991301,https://leetcode.com/problems/parse-lisp-expression,"Hash Table, String, Stack, Recursion"
MEDIUM,Design Hit Counter,71.2,0.6907138240466564,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
HARD,Insert Delete GetRandom O(1) - Duplicates allowed,71.2,0.35843130672167756,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,String Compression,68.8,0.5758865950344543,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Valid Anagram,66.0,0.6633037547182306,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Coin Change,58.7,0.46046386801225714,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,String Compression III,46.1,0.6802238164790789,https://leetcode.com/problems/string-compression-iii,String
EASY,Number of Recent Calls,46.1,0.7729329205944561,https://leetcode.com/problems/number-of-recent-calls,"Design, Queue, Data Stream"
