Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Palindrome Pairs,100.0,0.3615058818958064,https://leetcode.com/problems/palindrome-pairs,"Array, Hash Table, String, Trie"
MEDIUM,Combination Sum,97.8,0.7439595043735501,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
HARD,Maximum Profit in Job Scheduling,95.3,0.5438722159974303,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Flatten 2D Vector,87.5,0.5009147536699046,https://leetcode.com/problems/flatten-2d-vector,"Array, Two Pointers, Design, Iterator"
HARD,Minimum Window Substring,85.6,0.4509850667040137,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Shortest Path to Get All Keys,85.6,0.5365080375616743,https://leetcode.com/problems/shortest-path-to-get-all-keys,"Array, Bit Manipulation, Breadth-First Search, Matrix"
HARD,Text Justification,83.4,0.4781181746104651,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Sliding Puzzle,78.4,0.7309215987638593,https://leetcode.com/problems/sliding-puzzle,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
HARD,Alien Dictionary,78.4,0.36595287601625176,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Trapping Rain Water,78.4,0.6481177507685455,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Pour Water,78.4,0.47787192915421095,https://leetcode.com/problems/pour-water,"Array, Simulation"
MEDIUM,Cheapest Flights Within K Stops,78.4,0.40250261096971274,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Smallest Common Region,75.5,0.6790444091990484,https://leetcode.com/problems/smallest-common-region,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search"
MEDIUM,Simple Bank System,63.0,0.6137126900871666,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
HARD,Employee Free Time,63.0,0.7256101053447828,https://leetcode.com/problems/employee-free-time,"Array, Line Sweep, Sorting, Heap (Priority Queue)"
EASY,Two Sum,56.6,0.5554648724716332,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Intersection of Two Linked Lists,56.6,0.6078128325856366,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
MEDIUM,Basic Calculator II,56.6,0.45627895789623957,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
