Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Palindrome Pairs,100.0,0.3596547094181798,https://leetcode.com/problems/palindrome-pairs,"Array, Hash Table, String, Trie"
MEDIUM,Flatten 2D Vector,94.0,0.4994348565647432,https://leetcode.com/problems/flatten-2d-vector,"Array, Two Pointers, Design, Iterator"
HARD,Text Justification,90.8,0.4683156504443167,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Combination Sum,90.8,0.7376248075379537,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
HARD,Maximum Profit in Job Scheduling,88.5,0.5434907675212194,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Smallest Common Region,87.2,0.6784814309910356,https://leetcode.com/problems/smallest-common-region,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search"
MEDIUM,Pour Water,87.2,0.4754980403070572,https://leetcode.com/problems/pour-water,"Array, Simulation"
HARD,Alien Dictionary,85.8,0.3636376906168429,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Cheapest Flights Within K Stops,85.8,0.40000283772974526,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
HARD,Sliding Puzzle,85.8,0.7294985858195312,https://leetcode.com/problems/sliding-puzzle,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
HARD,Trapping Rain Water,85.8,0.6412319902914771,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Shortest Path to Get All Keys,79.3,0.53636523931116,https://leetcode.com/problems/shortest-path-to-get-all-keys,"Array, Bit Manipulation, Breadth-First Search, Matrix"
HARD,Employee Free Time,79.3,0.7247389119411948,https://leetcode.com/problems/employee-free-time,"Array, Sorting, Heap (Priority Queue)"
HARD,Minimum Window Substring,79.3,0.4453664786247562,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,IP to CIDR,79.3,0.5569822461277146,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
EASY,Two Sum,77.4,0.5490430576881723,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Word Search II,77.4,0.3696114052014517,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Pyramid Transition Matrix,77.4,0.5284451166307952,https://leetcode.com/problems/pyramid-transition-matrix,"Bit Manipulation, Depth-First Search, Breadth-First Search"
EASY,Contains Duplicate II,77.4,0.47879673496094804,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
MEDIUM,Basic Calculator II,77.4,0.4512406546173758,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
EASY,Intersection of Two Linked Lists,77.4,0.6008347627807481,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
EASY,Happy Number,75.2,0.57461333046462,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
HARD,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,75.2,0.7248787811162282,https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,"Array, Hash Table, Bit Manipulation, Breadth-First Search, Matrix"
HARD,Regular Expression Matching,75.2,0.2889129078255375,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
EASY,Valid Parentheses,75.2,0.41739362971793204,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Merge k Sorted Lists,75.2,0.555668753798801,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Minimize Rounding Error to Meet Target,75.2,0.4533018447553694,https://leetcode.com/problems/minimize-rounding-error-to-meet-target,"Array, Math, String, Greedy, Sorting"
MEDIUM,Convert to Base -2,75.2,0.6124344362503451,https://leetcode.com/problems/convert-to-base-2,Math
MEDIUM,Design File System,75.2,0.6370661705106477,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
EASY,Convert Sorted Array to Binary Search Tree,75.2,0.7343105401310135,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Strings Differ by One Character,75.2,0.41240614089626476,https://leetcode.com/problems/strings-differ-by-one-character,"Hash Table, String, Rolling Hash, Hash Function"
MEDIUM,Minimum Number of Vertices to Reach All Nodes,75.2,0.810659797254677,https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes,Graph
MEDIUM,Robot Bounded In Circle,75.2,0.5611711629744202,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
EASY,Add Strings,75.2,0.5170343422369755,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
HARD,Maximum Candies You Can Get from Boxes,75.2,0.5759593582273758,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,"Array, Breadth-First Search, Graph"
MEDIUM,Mini Parser,75.2,0.39515175404020497,https://leetcode.com/problems/mini-parser,"String, Stack, Depth-First Search"
EASY,Contains Duplicate,75.2,0.6273730476599365,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,Number of Ways to Build House of Cards,75.2,0.6189567430025446,https://leetcode.com/problems/number-of-ways-to-build-house-of-cards,"Math, Dynamic Programming"
EASY,Single Number,75.2,0.7517134284129938,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Add Two Numbers,75.2,0.45272521620598866,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Reverse Bits,75.2,0.6193077581638061,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,Maximal Square,75.2,0.480868836067273,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
HARD,Contains Duplicate III,75.2,0.23342195221069095,https://leetcode.com/problems/contains-duplicate-iii,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
MEDIUM,House Robber,75.2,0.5192201360489659,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Simple Bank System,59.6,0.6351038538538538,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Design Tic-Tac-Toe,54.6,0.5840260511971237,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
MEDIUM,Subarray Product Less Than K,54.6,0.5229957060886269,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Flatten Nested List Iterator,48.2,0.6509348798494989,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Coin Change,48.2,0.4567922903849372,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Shortest Path in Binary Matrix,39.2,0.4905269418646967,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
HARD,Making A Large Island,39.2,0.5409767667324539,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Shortest Uncommon Substring in an Array,39.2,0.4703949770022633,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,"Array, Hash Table, String, Trie"
MEDIUM,Time Based Key-Value Store,39.2,0.4933304791569537,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Merge Intervals,39.2,0.48695104431830943,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Sort Integers by The Power Value,39.2,0.7056107978582983,https://leetcode.com/problems/sort-integers-by-the-power-value,"Dynamic Programming, Memoization, Sorting"
HARD,All O`one Data Structure,39.2,0.44904876099120705,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
