Difficulty,Title,Frequency,Acceptance Rate,Link
MEDIUM,Delete and Earn,100.0,0.565821770650791,https://leetcode.com/problems/delete-and-earn
MEDIUM,Maximum Star Sum of a Graph,100.0,0.40266222961730447,https://leetcode.com/problems/maximum-star-sum-of-a-graph
EASY,Increasing Decreasing String,88.6,0.7664558044110105,https://leetcode.com/problems/increasing-decreasing-string
MEDIUM,Can Make Palindrome from Substring,88.6,0.3974909598840776,https://leetcode.com/problems/can-make-palindrome-from-substring
MEDIUM,Number of Operations to Make Network Connected,88.6,0.6382005660636135,https://leetcode.com/problems/number-of-operations-to-make-network-connected
HARD,Cherry Pickup,88.6,0.3742077405434563,https://leetcode.com/problems/cherry-pickup
MEDIUM,Map Sum Pairs,88.6,0.5691766361717101,https://leetcode.com/problems/map-sum-pairs
HARD,Constrained Subsequence Sum,88.6,0.5650677134716349,https://leetcode.com/problems/constrained-subsequence-sum
MEDIUM,Network Delay Time,88.6,0.5593208368058988,https://leetcode.com/problems/network-delay-time
HARD,Minimum Number of Taps to Open to Water a Garden,88.6,0.5068628230041827,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden
HARD,Create Sorted Array through Instructions,88.6,0.39562874337092785,https://leetcode.com/problems/create-sorted-array-through-instructions
HARD,Minimum Initial Energy to Finish Tasks,88.6,0.5858711856156257,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks
MEDIUM,Reduce Array Size to The Half,88.6,0.6900628594356025,https://leetcode.com/problems/reduce-array-size-to-the-half
HARD,Number of Different Subsequences GCDs,88.6,0.4141883010187315,https://leetcode.com/problems/number-of-different-subsequences-gcds
HARD,Dice Roll Simulation,88.6,0.4971213327616831,https://leetcode.com/problems/dice-roll-simulation
