Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.549042723172418,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,LRU Cache,99.1,0.44264990854265895,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,95.0,0.6142361520438011,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Reorganize String,90.0,0.5568948107224265,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
EASY,Make Array Zero by Subtracting Equal Amounts,87.1,0.7288257670741012,https://leetcode.com/problems/make-array-zero-by-subtracting-equal-amounts,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Simulation"
MEDIUM,Course Schedule,85.5,0.48346049080524695,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Longest Substring Without Repeating Characters,82.0,0.36201638879509784,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Course Schedule II,80.0,0.5247570948167819,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Merge k Sorted Lists,80.0,0.5556685430549169,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Group Anagrams,80.0,0.7021294569721956,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Trapping Rain Water,77.9,0.6412323378070339,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,3Sum,75.5,0.3627882689037001,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Merge Intervals,75.5,0.48695059420116815,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Best Time to Buy and Sell Stock,73.0,0.5468400435497901,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Minimum Health to Beat Game,73.0,0.5801082336070471,https://leetcode.com/problems/minimum-health-to-beat-game,"Array, Greedy"
MEDIUM,Top K Frequent Elements,70.1,0.6397484011326208,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Merge Sorted Array,70.1,0.520980673342063,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Climbing Stairs,70.1,0.5331671027356765,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Maximum Subarray,70.1,0.5164878799726322,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,66.8,0.3518925482578306,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,Word Ladder,66.8,0.4165543324709498,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Jump Game,66.8,0.39056410388847373,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
HARD,Find Median from Data Stream,63.0,0.5287637269926079,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,"Pow(x, n)",63.0,0.3635444408426503,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Longest Consecutive Sequence,63.0,0.47255159075257197,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Sum of Subarray Minimums,63.0,0.3732324865756969,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
HARD,Sliding Window Maximum,63.0,0.4719082092315842,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Basic Calculator II,63.0,0.4512408617235173,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Binary Tree Level Order Traversal,63.0,0.6963931339745539,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Add Two Numbers,63.0,0.4527247357608663,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Merge Strings Alternately,63.0,0.8169975024602242,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
EASY,Create Hello World Function,63.0,0.8180377808772339,https://leetcode.com/problems/create-hello-world-function,
MEDIUM,Analyze User Website Visit Pattern,63.0,0.43142229052779013,https://leetcode.com/problems/analyze-user-website-visit-pattern,"Array, Hash Table, Sorting"
