Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimum Number of Operations to Make Array XOR Equal to K,100.0,0.8531454726251755,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k,"Array, Bit Manipulation"
MEDIUM,Minimum Deletions to Make Character Frequencies Unique,78.2,0.6127832834644489,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique,"Hash Table, String, Greedy, Sorting"
EASY,Add Digits,78.2,0.6780732723290093,https://leetcode.com/problems/add-digits,"Math, Simulation, Number Theory"
EASY,Valid Palindrome,71.3,0.5066560953667313,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,3Sum,71.3,0.3684085294934961,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Minimum Fuel Cost to Report to the Capital,71.3,0.6433157206976875,https://leetcode.com/problems/minimum-fuel-cost-to-report-to-the-capital,"Tree, Depth-First Search, Breadth-First Search, Graph"
EASY,Two Sum,61.7,0.5554738259743678,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Equal Sum Arrays With Minimum Number of Operations,61.7,0.5389249304911955,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations,"Array, Hash Table, Greedy, Counting"
EASY,Divide an Array Into Subarrays With Minimum Cost I,61.7,0.6563100522082208,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-i,"Array, Sorting, Enumeration"
EASY,Percentage of Letter in String,61.7,0.7444555478111906,https://leetcode.com/problems/percentage-of-letter-in-string,String
HARD,Divide an Array Into Subarrays With Minimum Cost II,61.7,0.2988974113135187,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
MEDIUM,Ugly Number III,61.7,0.30353644043298106,https://leetcode.com/problems/ugly-number-iii,"Math, Binary Search, Combinatorics, Number Theory"
MEDIUM,Maximize the Topmost Element After K Moves,61.7,0.23370140568584147,https://leetcode.com/problems/maximize-the-topmost-element-after-k-moves,"Array, Greedy"
HARD,Find a Value of a Mysterious Function Closest to Target,61.7,0.45686354681634017,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target,"Array, Binary Search, Bit Manipulation, Segment Tree"
MEDIUM,Maximum XOR After Operations ,61.7,0.7921441620993189,https://leetcode.com/problems/maximum-xor-after-operations,"Array, Math, Bit Manipulation"
HARD,Maximum Equal Frequency,61.7,0.3739581282404673,https://leetcode.com/problems/maximum-equal-frequency,"Array, Hash Table"
HARD,Trapping Rain Water,61.7,0.6481315138441756,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Reconstruct a 2-Row Binary Matrix,61.7,0.47582791134080876,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix,"Array, Greedy, Matrix"
EASY,Valid Parentheses,61.7,0.4216025623931055,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Valid Anagram,61.7,0.6647152356478735,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
