Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Islands,100.0,0.6232005375415705,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Maximum Number of Visible Points,92.9,0.3767605072174815,https://leetcode.com/problems/maximum-number-of-visible-points,"Array, Math, Geometry, Sliding Window, Sorting"
MEDIUM,Video Stitching,92.9,0.5199920692617804,https://leetcode.com/problems/video-stitching,"Array, Dynamic Programming, Greedy"
MEDIUM,Group Anagrams,88.3,0.7092885297664818,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Course Schedule,85.6,0.492343272648647,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Shortest Word Distance,85.6,0.6594949449257005,https://leetcode.com/problems/shortest-word-distance,"Array, String"
MEDIUM,Heaters,82.5,0.39952991914941977,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Daily Temperatures,82.5,0.6736502832589849,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Course Schedule II,79.0,0.5342347717848052,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Find Median from Data Stream,79.0,0.5327803189283605,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Search Suggestions System,74.8,0.6505022273267432,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
HARD,Making A Large Island,69.7,0.5489029735459547,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Merge Intervals,69.7,0.49395255430023527,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Flatten Binary Tree to Linked List,63.2,0.6851017952147065,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
MEDIUM,Shortest Word Distance II,63.2,0.621334883686483,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
MEDIUM,Basic Calculator II,63.2,0.45811455267149553,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Flip Equivalent Binary Trees,63.2,0.696793256042999,https://leetcode.com/problems/flip-equivalent-binary-trees,"Tree, Depth-First Search, Binary Tree"
HARD,Merge k Sorted Lists,63.2,0.5677419253083275,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Valid Parentheses,53.9,0.4232285107271765,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Number of Distinct Islands,53.9,0.6225531873624047,https://leetcode.com/problems/number-of-distinct-islands,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
MEDIUM,Rotting Oranges,53.9,0.5661842002497466,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Minesweeper,53.9,0.681241547837878,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix"
EASY,Move Zeroes,53.9,0.6280404294781053,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Spiral Matrix,53.9,0.5393974123278643,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Time Based Key-Value Store,53.9,0.49366388355657287,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Insert into a Sorted Circular Linked List,53.9,0.38124104725048336,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list,Linked List
MEDIUM,Find the Duplicate Number,53.9,0.6283574412311195,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Snakes and Ladders,53.9,0.47795353738879465,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
MEDIUM,Search in Rotated Sorted Array,53.9,0.4283722145334321,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Game of Life,53.9,0.7141499668480139,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
HARD,Basic Calculator,53.9,0.45589654652961087,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
HARD,Race Car,53.9,0.4412431163672474,https://leetcode.com/problems/race-car,Dynamic Programming
