Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.4507741025338309,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Best Time to Buy and Sell Stock,97.0,0.5515719286403503,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Find Servers That Handled Most Number of Requests,87.3,0.4402671132167946,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests,"Array, Greedy, Heap (Priority Queue), Ordered Set"
MEDIUM,Calculate Score After Performing Instructions,87.3,0.5543281979534399,https://leetcode.com/problems/calculate-score-after-performing-instructions,"Array, Hash Table, String, Simulation"
MEDIUM,Min Stack,82.0,0.5634162480833085,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Merge Intervals,82.0,0.4929243660878381,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Two Sum,75.2,0.5568013584530227,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Number of Islands,75.2,0.621995533903578,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Longest Common Prefix,75.2,0.4537236881534671,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Best Time to Buy and Sell Stock II,75.2,0.6938077904240513,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Design Hit Counter,70.8,0.6918645046385095,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Spiral Matrix,70.8,0.5375487344600646,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Top K Frequent Elements,70.8,0.6447821145339919,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Best Time to Buy and Sell Stock with Transaction Fee,70.8,0.7035125278684169,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,"Array, Dynamic Programming, Greedy"
EASY,Merge Sorted Array,65.5,0.5280214468109382,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Valid Palindrome,65.5,0.5081505839511591,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Course Schedule II,65.5,0.5327009689233477,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Group Anagrams,65.5,0.7083644109360003,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Flatten Nested List Iterator,65.5,0.652100271890887,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Find First and Last Position of Element in Sorted Array,65.5,0.4669659978944297,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Design Tic-Tac-Toe,58.7,0.5857688096675501,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
MEDIUM,Exam Room,58.7,0.4281363114681734,https://leetcode.com/problems/exam-room,"Design, Heap (Priority Queue), Ordered Set"
MEDIUM,Time Based Key-Value Store,58.7,0.4933269452797766,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Insert Interval,58.7,0.4336824680300781,https://leetcode.com/problems/insert-interval,Array
EASY,Move Zeroes,58.7,0.627642365875237,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,First Unique Character in a String,58.7,0.6360298626002701,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Design Circular Queue,58.7,0.525658690020129,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Letter Combinations of a Phone Number,58.7,0.6372997078487204,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Happy Number,58.7,0.5798125223907077,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Task Scheduler,58.7,0.6142505365377999,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
