Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.556801386944755,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,78.3,0.36821806183610223,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,77.0,0.42245240018710056,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Longest Common Prefix,76.6,0.4537236881534671,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
HARD,Median of Two Sorted Arrays,75.9,0.4364999538599884,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Group Anagrams,74.4,0.7083642784861817,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Merge Sorted Array,74.0,0.5280213860813121,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Merge Intervals,73.6,0.4929243660878381,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Reverse Integer,72.8,0.30224318162972147,https://leetcode.com/problems/reverse-integer,Math
HARD,Trapping Rain Water,71.9,0.6495012937102412,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Valid Sudoku,71.0,0.6216825129829322,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
EASY,Roman to Integer,70.0,0.6475822300553211,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Climbing Stairs,69.5,0.5350774570312217,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Palindrome Number,68.5,0.5914906307175203,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Spiral Matrix,67.9,0.5375488641152143,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Longest Palindromic Substring,67.9,0.3574417158546446,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Add Two Numbers,67.3,0.46089485495805166,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,3Sum,66.8,0.36956129660191456,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Rotate Image,66.2,0.7776105579207544,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Remove Duplicates from Sorted Array,64.9,0.6020664758212269,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Search in Rotated Sorted Array,64.3,0.4273984278384439,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Merge Two Sorted Lists,64.3,0.6675267757001077,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Sqrt(x),62.9,0.40316471434499496,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Maximum Subarray,62.2,0.5203996544726922,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Generate Parentheses,61.4,0.770280041857348,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
