Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Restore IP Addresses,100.0,0.530155036234995,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Construct String With Repeat Limit,100.0,0.7087111239693331,https://leetcode.com/problems/construct-string-with-repeat-limit,"Hash Table, String, Greedy, Heap (Priority Queue), Counting"
EASY,Find the Town Judge,97.6,0.4996573809557614,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph"
HARD,Reverse Nodes in k-Group,95.0,0.6285965428417252,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Reverse Linked List II,95.0,0.49505766661186285,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Reorder List,88.7,0.6233666179285691,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Inorder Successor in BST II,80.2,0.6099609635659949,https://leetcode.com/problems/inorder-successor-in-bst-ii,"Tree, Binary Search Tree, Binary Tree"
EASY,Contains Duplicate II,80.2,0.48905384370460936,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
MEDIUM,Rotated Digits,80.2,0.5643224210125618,https://leetcode.com/problems/rotated-digits,"Math, Dynamic Programming"
MEDIUM,LRU Cache,74.6,0.4507749691488065,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Inorder Successor in BST,74.6,0.506390283862236,https://leetcode.com/problems/inorder-successor-in-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Maximum Depth of Binary Tree,67.4,0.7706591399647587,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Course Schedule II,67.4,0.5327033594681796,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Maximum Units on a Truck,67.4,0.7421789347543408,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting"
MEDIUM,Search in Rotated Sorted Array,67.4,0.42739922854905954,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
