Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Rank Teams by Votes,100.0,0.5909234417298662,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
MEDIUM,Design Snake Game,81.3,0.39040765763861285,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
MEDIUM,Stock Price Fluctuation ,79.5,0.48775408405038034,https://leetcode.com/problems/stock-price-fluctuation,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set"
EASY,Find the Width of Columns of a Grid,69.2,0.6881126017902324,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix"
HARD,All O`one Data Structure,67.3,0.4479560948509063,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Logger Rate Limiter,57.0,0.7637278475953447,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,The Time When the Network Becomes Idle,57.0,0.5304794018472365,https://leetcode.com/problems/the-time-when-the-network-becomes-idle,"Array, Breadth-First Search, Graph"
MEDIUM,High-Access Employees,53.1,0.4551763723648507,https://leetcode.com/problems/high-access-employees,"Array, Hash Table, String, Sorting"
HARD,Russian Doll Envelopes,53.1,0.37184111150478927,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Word Search,48.1,0.4471707335983378,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Text Justification,48.1,0.4727200909406146,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Jump Game II,48.1,0.4118348795957237,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Find K Closest Elements,41.0,0.4839130074118919,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Pairs of Songs With Total Durations Divisible by 60,41.0,0.5315761152424555,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
MEDIUM,Nth Highest Salary,41.0,0.3790001165553994,https://leetcode.com/problems/nth-highest-salary,Database
