Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Rank Teams by Votes,100.0,0.5909234417298662,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
MEDIUM,Design Snake Game,92.1,0.39040765763861285,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
EASY,Logger Rate Limiter,80.2,0.7637278475953447,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Design File System,72.7,0.6384438743474283,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
HARD,All O`one Data Structure,72.7,0.4479560948509063,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Maximum Area of Longest Diagonal Rectangle,70.8,0.3669994603345926,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Array
HARD,Cherry Pickup,70.8,0.3759097076600469,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
MEDIUM,Maximum Square Area by Removing Fences From a Field,70.8,0.2403755868544601,https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field,"Array, Hash Table, Enumeration"
MEDIUM,Stock Price Fluctuation ,70.8,0.48775408405038034,https://leetcode.com/problems/stock-price-fluctuation,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set"
MEDIUM,Longest String Chain,68.7,0.6173034770158395,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
MEDIUM,Merge Intervals,66.3,0.4888149763246631,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Group Anagrams,66.3,0.7043763918432527,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Longest Increasing Subsequence,63.7,0.572620540609302,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Online Election,60.6,0.5247771780065278,https://leetcode.com/problems/online-election,"Array, Hash Table, Binary Search, Design"
MEDIUM,Majority Element II,60.6,0.5377545605208466,https://leetcode.com/problems/majority-element-ii,"Array, Hash Table, Sorting, Counting"
HARD,String Transformation,56.9,0.3060878412752247,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
MEDIUM,High-Access Employees,56.9,0.4551763723648507,https://leetcode.com/problems/high-access-employees,"Array, Hash Table, String, Sorting"
MEDIUM,Design Tic-Tac-Toe,52.5,0.584584996936857,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
EASY,Best Time to Buy and Sell Stock,52.5,0.5482911136318221,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Boats to Save People,46.8,0.5997957942978286,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting"
EASY,Two Sum,46.8,0.5518537815912549,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Crawler Log Folder,46.8,0.7160625616639978,https://leetcode.com/problems/crawler-log-folder,"Array, String, Stack"
MEDIUM,Integer to Roman,46.8,0.6798522274049649,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Maximum Number of Occurrences of a Substring,46.8,0.5299351032448377,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window"
MEDIUM,Koko Eating Bananas,46.8,0.489033960825752,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Count Vowels Permutation,46.8,0.6153256839626786,https://leetcode.com/problems/count-vowels-permutation,Dynamic Programming
HARD,Minimum Time to Visit a Cell In a Grid,46.8,0.5710250627094707,https://leetcode.com/problems/minimum-time-to-visit-a-cell-in-a-grid,"Array, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path"
MEDIUM,Longest Consecutive Sequence,46.8,0.47157715510708975,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
HARD,Text Justification,46.8,0.4727200909406146,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Unique Paths II,46.8,0.42817944278340436,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
HARD,Number of Possible Sets of Closing Branches,38.8,0.5096106150793651,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,"Bit Manipulation, Graph, Heap (Priority Queue), Enumeration, Shortest Path"
MEDIUM,Make Lexicographically Smallest Array by Swapping Elements,38.8,0.6044461407548303,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union Find, Sorting"
HARD,Minimum Cost to Convert String II,38.8,0.2591159466472436,https://leetcode.com/problems/minimum-cost-to-convert-string-ii,"Array, String, Dynamic Programming, Graph, Trie, Shortest Path"
MEDIUM,Single Element in a Sorted Array,38.8,0.5915016200084092,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
MEDIUM,Smallest Missing Non-negative Integer After Operations,38.8,0.39569593147751614,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,"Array, Hash Table, Math, Greedy"
HARD,Tallest Billboard,38.8,0.519450950844376,https://leetcode.com/problems/tallest-billboard,"Array, Dynamic Programming"
MEDIUM,Minimum Cost to Convert String I,38.8,0.5791347012085271,https://leetcode.com/problems/minimum-cost-to-convert-string-i,"Array, String, Graph, Shortest Path"
EASY,Valid Anagram,38.8,0.6622754440300921,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Search Suggestions System,38.8,0.6501466014794453,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Maximum Good Subarray Sum,38.8,0.20083655339999204,https://leetcode.com/problems/maximum-good-subarray-sum,"Array, Hash Table, Prefix Sum"
HARD,Verbal Arithmetic Puzzle,38.8,0.3464234063855824,https://leetcode.com/problems/verbal-arithmetic-puzzle,"Array, Math, String, Backtracking"
MEDIUM,Container With Most Water,38.8,0.5726806078040536,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Substring Without Repeating Characters,38.8,0.3641853782864082,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Basic Calculator,38.8,0.4498982542827066,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,3Sum,38.8,0.3653139967028588,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Trapping Rain Water,38.8,0.6439795947297278,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Merge Sorted Array,38.8,0.523533750054052,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Last Stone Weight,38.8,0.6580371076355379,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
HARD,Maximum Path Quality of a Graph,38.8,0.5943799490785079,https://leetcode.com/problems/maximum-path-quality-of-a-graph,"Array, Backtracking, Graph"
MEDIUM,Basic Calculator II,38.8,0.4533781111926362,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Number of Digit One,38.8,0.3560978904908035,https://leetcode.com/problems/number-of-digit-one,"Math, Dynamic Programming, Recursion"
MEDIUM,Coin Change,38.8,0.4591444029687317,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Add Two Integers,38.8,0.8813249633903585,https://leetcode.com/problems/add-two-integers,Math
MEDIUM,Find K Pairs with Smallest Sums,38.8,0.40465742663150217,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,"Array, Heap (Priority Queue)"
HARD,Split Array Largest Sum,38.8,0.5748678817185258,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
EASY,Assign Cookies,38.8,0.5352710400720168,https://leetcode.com/problems/assign-cookies,"Array, Two Pointers, Greedy, Sorting"
EASY,Kth Largest Element in a Stream,38.8,0.5971865871613551,https://leetcode.com/problems/kth-largest-element-in-a-stream,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
EASY,Lemonade Change,38.8,0.5831273227578193,https://leetcode.com/problems/lemonade-change,"Array, Greedy"
MEDIUM,Meeting Rooms II,38.8,0.5195251737160005,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Design Hit Counter,38.8,0.690321537478178,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
