Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Number of Changing Keys,100.0,0.7952353798390673,https://leetcode.com/problems/number-of-changing-keys,String
MEDIUM,Number of Subarrays That Match a Pattern I,100.0,0.6626799108047841,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i,"Array, Rolling Hash, String Matching, Hash Function"
EASY,Distribute Elements Into Two Arrays I,97.7,0.7276314132609517,https://leetcode.com/problems/distribute-elements-into-two-arrays-i,"Array, Simulation"
HARD,Number of Subarrays That Match a Pattern II,97.7,0.31803490627020037,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-ii,"Array, Rolling Hash, String Matching, Hash Function"
HARD,Distribute Elements Into Two Arrays II,97.7,0.2902204502814259,https://leetcode.com/problems/distribute-elements-into-two-arrays-ii,"Array, Binary Indexed Tree, Segment Tree, Simulation"
HARD,Count Prefix and Suffix Pairs II,97.7,0.26866528595156564,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii,"Array, String, Trie, Rolling Hash, String Matching, Hash Function"
EASY,Count Prefix and Suffix Pairs I,97.7,0.7762983006733032,https://leetcode.com/problems/count-prefix-and-suffix-pairs-i,"Array, String, Trie, Rolling Hash, String Matching, Hash Function"
HARD,Sliding Window Maximum,75.1,0.4736670156694442,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Group Anagrams,75.1,0.7056701366085214,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Elimination Game,58.1,0.44674893114835557,https://leetcode.com/problems/elimination-game,"Math, Recursion"
EASY,Majority Element,58.1,0.6557178893172328,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
HARD,Median of Two Sorted Arrays,58.1,0.4323454839210428,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Set Matrix Zeroes,58.1,0.5925576529120946,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,3Sum,58.1,0.3666560381974792,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Maximum Subarray,58.1,0.5186416376786905,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Minimum Size Subarray Sum,58.1,0.4896556081883778,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Koko Eating Bananas,58.1,0.48954442015291894,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Reverse Nodes in k-Group,58.1,0.6240247377688136,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Restore IP Addresses,58.1,0.5261750966808976,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
EASY,Valid Parentheses,58.1,0.4202368778854842,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Search in Rotated Sorted Array,58.1,0.42507839978671924,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Valid Sudoku,58.1,0.6189190514827915,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
EASY,Valid Anagram,58.1,0.6633040304704477,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Product of Array Except Self,58.1,0.6750771014688756,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
HARD,Block Placement Queries,58.1,0.16082006308177552,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
MEDIUM,Combination Sum,58.1,0.7418820170782869,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Longest Palindromic Substring,58.1,0.35491152029315265,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
