Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Group Anagrams,100.0,0.7043778168985942,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Minimum Number of Taps to Open to Water a Garden,100.0,0.5070010092825564,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
EASY,Two Sum,91.2,0.5518561713553339,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Minimum Number of Groups to Create a Valid Assignment,91.2,0.24522897346843783,https://leetcode.com/problems/minimum-number-of-groups-to-create-a-valid-assignment,"Array, Hash Table, Greedy"
MEDIUM,Gas Station,91.2,0.46012934501184377,https://leetcode.com/problems/gas-station,"Array, Greedy"
HARD,Count Visited Nodes in a Directed Graph,91.2,0.3280791179566735,https://leetcode.com/problems/count-visited-nodes-in-a-directed-graph,"Dynamic Programming, Graph, Memoization"
MEDIUM,Sum of Distances,78.8,0.31411208642808913,https://leetcode.com/problems/sum-of-distances,"Array, Hash Table, Prefix Sum"
HARD,Find the Count of Monotonic Pairs II,78.8,0.23196826832747644,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii,"Array, Math, Dynamic Programming, Combinatorics, Prefix Sum"
EASY,Count Vowel Substrings of a String,78.8,0.7045388731507711,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
MEDIUM,Total Cost to Hire K Workers,78.8,0.4288548631994569,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
MEDIUM,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,78.8,0.41212253818799094,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,"Array, Greedy, Sorting"
MEDIUM,Minimize Length of Array Using Operations,78.8,0.34831154684095866,https://leetcode.com/problems/minimize-length-of-array-using-operations,"Array, Math, Greedy, Number Theory"
EASY,Roman to Integer,78.8,0.6427331437832202,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Move Zeroes,78.8,0.6257731896700542,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Longest Substring Without Repeating Characters,78.8,0.36418737679081886,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Palindromic Substrings,78.8,0.7133047267632225,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
EASY,Best Time to Buy and Sell Stock,78.8,0.5482911357913764,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Remove Duplicate Letters,78.8,0.5089967747411306,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
EASY,Reverse Words in a String III,78.8,0.8353684228196369,https://leetcode.com/problems/reverse-words-in-a-string-iii,"Two Pointers, String"
MEDIUM,3Sum,78.8,0.3653151198798162,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
