Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Count Visited Nodes in a Directed Graph,100.0,0.28728733459357275,https://leetcode.com/problems/count-visited-nodes-in-a-directed-graph,"Dynamic Programming, Graph, Memoization"
MEDIUM,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,97.7,0.4120133113872737,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,"Array, Greedy, Sorting"
MEDIUM,Sum of Distances,97.7,0.31112896329217254,https://leetcode.com/problems/sum-of-distances,"Array, Hash Table, Prefix Sum"
MEDIUM,Minimize Length of Array Using Operations,97.7,0.34712867777383904,https://leetcode.com/problems/minimize-length-of-array-using-operations,"Array, Math, Greedy, Number Theory"
MEDIUM,Group Anagrams,75.5,0.7072454860503709,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Minimum Number of Taps to Open to Water a Garden,75.5,0.5070426000850666,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Palindromic Substrings,68.5,0.7152194271882422,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Minimum Number of Groups to Create a Valid Assignment,68.5,0.2395079098177825,https://leetcode.com/problems/minimum-number-of-groups-to-create-a-valid-assignment,"Array, Hash Table, Greedy"
EASY,Best Time to Buy and Sell Stock,68.5,0.5506642072140499,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Gas Station,68.5,0.46224686361382356,https://leetcode.com/problems/gas-station,"Array, Greedy"
EASY,Count Vowel Substrings of a String,58.7,0.7110984185913682,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
MEDIUM,Car Fleet,58.7,0.5327844022801751,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
MEDIUM,Total Cost to Hire K Workers,58.7,0.4303827366949161,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
MEDIUM,3Sum,58.7,0.3684092387288798,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Find the Count of Monotonic Pairs II,58.7,0.2276899625542632,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii,"Array, Math, Dynamic Programming, Combinatorics, Prefix Sum"
EASY,Two Sum,58.7,0.5554745954435731,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Move Zeroes,58.7,0.627215990242175,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Longest Substring Without Repeating Characters,58.7,0.3671676890399629,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Reverse Words in a String III,58.7,0.836186802302634,https://leetcode.com/problems/reverse-words-in-a-string-iii,"Two Pointers, String"
EASY,Roman to Integer,58.7,0.6462161601302041,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Longest Palindromic Substring,58.7,0.3564903132518386,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
