Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Islands,100.0,0.6206899691824863,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Two Sum,79.8,0.5554646015851639,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Gas Station,70.2,0.46224284419315687,https://leetcode.com/problems/gas-station,"Array, Greedy"
EASY,Valid Parentheses,70.2,0.42159976098058755,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Minimum Remove to Make Valid Parentheses,70.2,0.7058953508591422,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
MEDIUM,Add Two Numbers,70.2,0.45941313081569063,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Decode String,70.2,0.6097512283984168,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Merge Intervals,70.2,0.49193339333454633,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Trapping Rain Water,63.4,0.6481176169379649,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Count Subarrays Where Max Element Appears at Least K Times,63.4,0.6250645867357669,https://leetcode.com/problems/count-subarrays-where-max-element-appears-at-least-k-times,"Array, Sliding Window"
MEDIUM,Longest Substring Without Repeating Characters,63.4,0.36716052578324143,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Insert Delete GetRandom O(1),63.4,0.5492713902235457,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Valid Anagram,53.8,0.6647078361230815,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Most Frequent Even Element,53.8,0.5169640443363072,https://leetcode.com/problems/most-frequent-even-element,"Array, Hash Table, Counting"
MEDIUM,Subarray Sum Equals K,53.8,0.4528264772972974,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Domino and Tromino Tiling,53.8,0.5206407860844966,https://leetcode.com/problems/domino-and-tromino-tiling,Dynamic Programming
HARD,Find in Mountain Array,53.8,0.4041003368500247,https://leetcode.com/problems/find-in-mountain-array,"Array, Binary Search, Interactive"
MEDIUM,Unique Paths,53.8,0.6564002362650921,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,4Sum,53.8,0.3797904057760794,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
EASY,Majority Element,53.8,0.6565326037448603,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
EASY,Contains Duplicate,53.8,0.6307839623775975,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,Invalid Transactions,53.8,0.31244860816283,https://leetcode.com/problems/invalid-transactions,"Array, Hash Table, String, Sorting"
EASY,Remove Letter To Equalize Frequency,53.8,0.18120956317273007,https://leetcode.com/problems/remove-letter-to-equalize-frequency,"Hash Table, String, Counting"
MEDIUM,Valid Sudoku,53.8,0.6206542294559267,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Minimum Size Subarray Sum,53.8,0.4915211519179456,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,String to Integer (atoi),53.8,0.1902804486466948,https://leetcode.com/problems/string-to-integer-atoi,String
HARD,Median of Two Sorted Arrays,53.8,0.43488080574972815,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Design Underground System,53.8,0.7399053637171891,https://leetcode.com/problems/design-underground-system,"Hash Table, String, Design"
MEDIUM,Sum of Subarray Minimums,53.8,0.37498912046490757,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
EASY,Count Largest Group,53.8,0.7510685381327575,https://leetcode.com/problems/count-largest-group,"Hash Table, Math"
MEDIUM,Longest Consecutive Sequence,53.8,0.47071089394568366,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Isomorphic Strings,53.8,0.4668402444604205,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
EASY,Count Equal and Divisible Pairs in an Array,53.8,0.840796846804065,https://leetcode.com/problems/count-equal-and-divisible-pairs-in-an-array,Array
EASY,Combine Two Tables,53.8,0.7790992302674173,https://leetcode.com/problems/combine-two-tables,Database
