Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.551853625556745,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,83.2,0.364185212101697,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Add Two Numbers,82.3,0.4555574256707365,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Merge Intervals,80.8,0.4888144772316322,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Valid Parentheses,80.8,0.41916931604736374,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,3Sum,80.4,0.36531419221232875,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Merge Sorted Array,79.1,0.5235338009359901,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Longest Palindromic Substring,78.7,0.3537820238782848,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Palindrome Number,76.8,0.587494132515769,https://leetcode.com/problems/palindrome-number,Math
HARD,Median of Two Sorted Arrays,76.4,0.4306419972302041,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Trapping Rain Water,76.4,0.6439790814924163,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Maximum Subarray,76.0,0.5179050787176336,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Remove Duplicates from Sorted Array,75.6,0.5959884048834168,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Longest Common Prefix,74.7,0.44980364768569925,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Roman to Integer,73.3,0.6427277077750511,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Merge Two Sorted Lists,71.9,0.6636950668025112,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Container With Most Water,70.8,0.5726803151511701,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Reverse Integer,70.8,0.29923550762764106,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Word Search,66.0,0.4471708096848039,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Search in Rotated Sorted Array,66.0,0.42401122894108895,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Next Permutation,66.0,0.4242937340183971,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Climbing Stairs,66.0,0.5336999884031847,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Remove Element,66.0,0.5953766308665693,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Generate Parentheses,65.4,0.7661918785115296,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
HARD,Merge k Sorted Lists,64.6,0.5594069462800462,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Rotate Image,64.6,0.7727233982200226,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Group Anagrams,63.9,0.7043760105016141,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Find the Index of the First Occurrence in a String,62.3,0.4454257045578981,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,"Pow(x, n)",62.3,0.365695966246044,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Subsets,61.5,0.8034781344062147,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Validate Binary Search Tree,60.7,0.34032732649098774,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Jump Game,58.8,0.3915374278253198,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Set Matrix Zeroes,57.8,0.590601431549811,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Spiral Matrix,56.8,0.5309626776597093,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Find First and Last Position of Element in Sorted Array,56.8,0.4624175468488463,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
EASY,Sqrt(x),55.7,0.4008055339111904,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Jump Game II,55.7,0.41183467277026437,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
EASY,Search Insert Position,54.5,0.4844042698305283,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,Permutations,53.3,0.8021909616814337,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Swap Nodes in Pairs,53.3,0.6661039426780071,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Letter Combinations of a Phone Number,53.3,0.6319914670431571,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Combination Sum II,52.0,0.5727835467581852,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
HARD,Regular Expression Matching,52.0,0.2900600911073755,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Unique Paths,52.0,0.6546153189509587,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Sort Colors,52.0,0.6647644043118711,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
HARD,Largest Rectangle in Histogram,50.6,0.46695375993685045,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
HARD,First Missing Positive,50.6,0.4070571466540148,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
HARD,Reverse Nodes in k-Group,50.6,0.62189177854135,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Search a 2D Matrix,49.1,0.51848681954275,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
EASY,Plus One,49.1,0.4712322823670326,https://leetcode.com/problems/plus-one,"Array, Math"
EASY,Maximum Depth of Binary Tree,47.5,0.7681223713335354,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Zigzag Conversion,47.5,0.5090893202080576,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,4Sum,47.5,0.376822568077218,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Subsets II,47.5,0.5898183901272354,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
