Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.4455053947326405,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,94.2,0.6170172540635545,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Longest Substring Without Repeating Characters,90.7,0.3641855078835988,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Delete Operation for Two Strings,86.6,0.6333762157586628,https://leetcode.com/problems/delete-operation-for-two-strings,"String, Dynamic Programming"
MEDIUM,House Robber,76.0,0.5202373179235998,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Combination Sum,76.0,0.7404327739822295,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Kth Largest Element in an Array,76.0,0.6767053763461139,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,House Robber II,76.0,0.431910643471542,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
MEDIUM,Course Schedule,76.0,0.4857204438546283,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Course Schedule II,68.5,0.5273971771059994,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Reverse Linked List,68.5,0.7873613906975093,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
HARD,Trapping Rain Water,68.5,0.6439796110824794,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Decode String,68.5,0.6074709578368355,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Two Sum,68.5,0.5518539584906484,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Basic Calculator II,68.5,0.4533781111926362,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Longest Consecutive Sequence,68.5,0.47157716628097307,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Sum Game,68.5,0.4816576805159108,https://leetcode.com/problems/sum-game,"Math, String, Greedy, Game Theory"
MEDIUM,Longest Palindromic Substring,68.5,0.3537816676116101,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Sort List,57.9,0.6104262081551945,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
MEDIUM,Smallest Subsequence of Distinct Characters,57.9,0.616784748764799,https://leetcode.com/problems/smallest-subsequence-of-distinct-characters,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Remove Duplicate Letters,57.9,0.5089975208048417,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,First Day Where You Have Been in All the Rooms,57.9,0.3757822277847309,https://leetcode.com/problems/first-day-where-you-have-been-in-all-the-rooms,"Array, Dynamic Programming"
MEDIUM,Container With Most Water,57.9,0.5726806698653558,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Shortest Distance from All Buildings,57.9,0.4389231763415825,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
MEDIUM,Maximum Value at a Given Index in a Bounded Array,57.9,0.3889541602927143,https://leetcode.com/problems/maximum-value-at-a-given-index-in-a-bounded-array,"Binary Search, Greedy"
EASY,Count Binary Substrings,57.9,0.6583532289058405,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
EASY,Climbing Stairs,57.9,0.5337002514131992,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Insert Delete GetRandom O(1),57.9,0.5493273054219739,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Move Zeroes,57.9,0.6257720428399982,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,H-Index,57.9,0.3997181284102583,https://leetcode.com/problems/h-index,"Array, Sorting, Counting Sort"
EASY,Intersection of Two Linked Lists,57.9,0.6038633707103437,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
MEDIUM,Open the Lock,57.9,0.6059478396801626,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
MEDIUM,Merge Intervals,57.9,0.48881498355223035,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Minimum Window Substring,57.9,0.4476587979071327,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Search in Rotated Sorted Array,57.9,0.4240110980692497,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Number of Good Leaf Nodes Pairs,57.9,0.7182778259370077,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Partition to K Equal Sum Subsets,57.9,0.3809370918659075,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
EASY,Degree of an Array,57.9,0.5716306372706867,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Next Permutation,57.9,0.42429447949363824,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Find All Good Indices,57.9,0.39498834163332286,https://leetcode.com/problems/find-all-good-indices,"Array, Dynamic Programming, Prefix Sum"
MEDIUM,"Pow(x, n)",57.9,0.3656962279713273,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Top K Frequent Elements,57.9,0.6415069925253427,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
