Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Block Placement Queries,100.0,0.15943027286463426,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
MEDIUM,Simple Bank System,100.0,0.6351038538538538,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Spiral Matrix,93.8,0.5271675607102301,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,82.1,0.5667516712223446,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
HARD,Text Justification,82.1,0.4683156504443167,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Rotate Image,78.7,0.7701660053913809,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Simplify Path,74.8,0.4627525595039556,https://leetcode.com/problems/simplify-path,"String, Stack"
EASY,Best Time to Buy and Sell Stock,74.8,0.5468401566970827,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Candy Crush,74.8,0.7716069766743717,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
MEDIUM,Minimum Operations to Write the Letter Y on a Grid,70.0,0.623363108143266,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
EASY,Add Strings,55.0,0.5170343422369755,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
EASY,Palindrome Number,55.0,0.5850830475289809,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Number of Islands,55.0,0.6142363453328057,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Find the Length of the Longest Common Prefix,55.0,0.5628840825912962,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
HARD,Largest Rectangle in Histogram,55.0,0.46447541017498073,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Meeting Rooms II,55.0,0.5187228835243075,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Non-overlapping Intervals,55.0,0.5484176479776295,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
HARD,Remove Boxes,55.0,0.48184368058431537,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
MEDIUM,Design File System,55.0,0.6370661705106477,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
