Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Text Justification,100.0,0.4683156504443167,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Split Message Based on Limit,97.1,0.4310274475667148,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration"
HARD,Number of Flowers in Full Bloom,85.5,0.5699416238721369,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
MEDIUM,Candy Crush,85.5,0.7716069766743717,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
MEDIUM,Word Search,80.0,0.4448820806330959,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Simple Bank System,80.0,0.6351038538538538,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Count Alternating Subarrays,72.9,0.5719931322340961,https://leetcode.com/problems/count-alternating-subarrays,"Array, Math"
HARD,Remove Boxes,72.9,0.48184368058431537,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
MEDIUM,Find the Length of the Longest Common Prefix,72.9,0.5628840825912962,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
HARD,Word Search II,72.9,0.3696114052014517,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Coin Change,72.9,0.4567922903849372,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Rotate Image,72.9,0.7701660053913809,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Simplify Path,62.9,0.4627525595039556,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Four Divisors,62.9,0.4421302811395691,https://leetcode.com/problems/four-divisors,"Array, Math"
EASY,Binary Tree Paths,62.9,0.6566185011827069,https://leetcode.com/problems/binary-tree-paths,"String, Backtracking, Tree, Depth-First Search, Binary Tree"
EASY,Two Sum,62.9,0.549043029025899,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Get Biggest Three Rhombus Sums in a Grid,62.9,0.488644467606561,https://leetcode.com/problems/get-biggest-three-rhombus-sums-in-a-grid,"Array, Math, Sorting, Heap (Priority Queue), Matrix, Prefix Sum"
MEDIUM,Add Two Numbers,62.9,0.45272521620598866,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Rotate Array,62.9,0.4233815112881951,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,K-diff Pairs in an Array,62.9,0.44173325304231364,https://leetcode.com/problems/k-diff-pairs-in-an-array,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
HARD,Reverse Nodes in k-Group,62.9,0.6182054986321553,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
EASY,Roman to Integer,62.9,0.6397783997944871,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
