Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Predict the Winner,100.0,0.5565988334965303,https://leetcode.com/problems/predict-the-winner,"Array, Math, Dynamic Programming, Recursion, Game Theory"
MEDIUM,Longest Palindromic Substring,95.4,0.35648441079367144,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,House Robber,94.1,0.5218919174397008,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Rotate Image,82.7,0.7762107428917453,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Spiral Matrix,81.1,0.5357354345087073,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Lucky Numbers in a Matrix,80.3,0.7988300579669165,https://leetcode.com/problems/lucky-numbers-in-a-matrix,"Array, Matrix"
MEDIUM,Stone Game,70.1,0.7152062543019916,https://leetcode.com/problems/stone-game,"Array, Math, Dynamic Programming, Game Theory"
MEDIUM,Snakes and Ladders,66.8,0.44130736912161694,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
MEDIUM,Find Third Transaction,66.8,0.536326942482341,https://leetcode.com/problems/find-third-transaction,Database
MEDIUM,LRU Cache,65.0,0.4493677320922184,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Merge Intervals,63.0,0.49193396233794473,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Fizz Buzz,63.0,0.7421968632423763,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
EASY,Maximum Difference Between Increasing Elements,63.0,0.59058752103067,https://leetcode.com/problems/maximum-difference-between-increasing-elements,Array
EASY,Happy Number,60.7,0.5788713689513336,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
HARD,Word Search II,60.7,0.3720004358071734,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
EASY,Valid Parentheses,60.7,0.42159984435080317,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Maximum Subarray,58.1,0.5197310774291893,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Cherry Pickup,58.1,0.3772130418972971,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
EASY,Two Sum,58.1,0.5554649411406142,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Trapping Rain Water,55.1,0.64811809163405,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Max Points on a Line,51.6,0.28776474860230267,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
EASY,Best Time to Buy and Sell Stock,51.6,0.5506574880668101,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Decode String,51.6,0.609751940966381,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
HARD,Remove Boxes,51.6,0.4823233247894544,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
MEDIUM,Number of Islands,47.3,0.6206902517902476,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Number of Valid Words in a Sentence,47.3,0.2990957326345077,https://leetcode.com/problems/number-of-valid-words-in-a-sentence,String
HARD,Strange Printer,47.3,0.6077064923246401,https://leetcode.com/problems/strange-printer,"String, Dynamic Programming"
MEDIUM,Word Search,47.3,0.4502654421786215,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Search a 2D Matrix,47.3,0.5208696346495337,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Expressive Words,41.8,0.4633926288490338,https://leetcode.com/problems/expressive-words,"Array, Two Pointers, String"
MEDIUM,Palindromic Substrings,41.8,0.7152152246408093,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
EASY,Single Number,41.8,0.7573436167204239,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Gas Station,41.8,0.46224228459539496,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Add Two Numbers,41.8,0.4594135731435011,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,3Sum,41.8,0.3684032725426028,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Move Zeroes,41.8,0.6272147365216861,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Linked List Cycle,41.8,0.5235419409925873,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
MEDIUM,Jump Game,34.1,0.393283762577915,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
HARD,Count of Integers,34.1,0.3693642921550947,https://leetcode.com/problems/count-of-integers,"Math, String, Dynamic Programming"
HARD,Minimum Cost to Make Array Equal,34.1,0.46231802513209547,https://leetcode.com/problems/minimum-cost-to-make-array-equal,"Array, Binary Search, Greedy, Sorting, Prefix Sum"
EASY,Check if Binary String Has at Most One Segment of Ones,34.1,0.3901479230292486,https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones,String
HARD,Sum of k-Mirror Numbers,34.1,0.41393569730176777,https://leetcode.com/problems/sum-of-k-mirror-numbers,"Math, Enumeration"
MEDIUM,Find the Largest Area of Square Inside Two Rectangles,34.1,0.4494566590851655,https://leetcode.com/problems/find-the-largest-area-of-square-inside-two-rectangles,"Array, Math, Geometry"
MEDIUM,Group Anagrams,34.1,0.7072405232211885,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Letter Combinations of a Phone Number,34.1,0.6359894831468387,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Valid Palindrome,34.1,0.5066479179087902,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Reverse Words in a String,34.1,0.5128455260716414,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Find Minimum in Rotated Sorted Array,34.1,0.5246001703291536,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Unique Paths,34.1,0.6564003519977242,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Restore IP Addresses,34.1,0.5287275836179032,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
HARD,Find Servers That Handled Most Number of Requests,34.1,0.43943201809499877,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests,"Array, Greedy, Heap (Priority Queue), Ordered Set"
MEDIUM,Number of Equal Count Substrings,34.1,0.4456846203763789,https://leetcode.com/problems/number-of-equal-count-substrings,"Hash Table, String, Sliding Window, Counting"
MEDIUM,Longest Consecutive Sequence,34.1,0.4707114246218683,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Subarray Sum Equals K,34.1,0.45282702714235384,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Maximum Product of Two Elements in an Array,34.1,0.8317605948184296,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array,"Array, Sorting, Heap (Priority Queue)"
MEDIUM,Min Stack,34.1,0.5623418696686977,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Longest Palindromic Subsequence,34.1,0.6391699454669109,https://leetcode.com/problems/longest-palindromic-subsequence,"String, Dynamic Programming"
MEDIUM,Unique Paths II,34.1,0.4300226047505731,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
EASY,Number of 1 Bits,34.1,0.7423157160695771,https://leetcode.com/problems/number-of-1-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,Product of Array Except Self,34.1,0.6762126611580973,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
HARD,Burst Balloons,34.1,0.6099354518200103,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Top K Frequent Elements,34.1,0.6438792199060991,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Remove K Digits,34.1,0.3472555437400677,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Validate IP Address,34.1,0.277671821849418,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Beautiful Arrangement,34.1,0.6449128870450189,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Merge k Sorted Lists,34.1,0.5644305531835702,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Longest Substring Without Repeating Characters,34.1,0.36716065724383706,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Design Browser History,34.1,0.776867586068649,https://leetcode.com/problems/design-browser-history,"Array, Linked List, Stack, Design, Doubly-Linked List, Data Stream"
EASY,Merge Sorted Array,34.1,0.5267881578106017,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Reverse Linked List,34.1,0.79004486185193,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Climbing Stairs,34.1,0.5347679829179761,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Pascal's Triangle,34.1,0.7679879305463672,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Insert Delete GetRandom O(1),34.1,0.5492717212417536,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Missing Number,34.1,0.6979096191163022,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
