Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Palindromic Substring,100.0,0.3574425437740726,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Predict the Winner,98.5,0.5570627615239877,https://leetcode.com/problems/predict-the-winner,"Array, Math, Dynamic Programming, Recursion, Game Theory"
MEDIUM,House Robber,97.8,0.522440740976593,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Rotate Image,84.6,0.7776113146248863,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Spiral Matrix,83.9,0.5375497085336066,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Lucky Numbers in a Matrix,83.9,0.7989355740653267,https://leetcode.com/problems/lucky-numbers-in-a-matrix,"Array, Matrix"
MEDIUM,Stone Game,68.2,0.7157187427429045,https://leetcode.com/problems/stone-game,"Array, Math, Dynamic Programming, Game Theory"
EASY,Fizz Buzz,68.2,0.743091598218128,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
MEDIUM,LRU Cache,66.6,0.4507743463381655,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Number of Valid Words in a Sentence,66.6,0.29950615900559474,https://leetcode.com/problems/number-of-valid-words-in-a-sentence,String
MEDIUM,Merge Intervals,64.9,0.49292510424941965,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Maximum Difference Between Increasing Elements,64.9,0.5914989952433037,https://leetcode.com/problems/maximum-difference-between-increasing-elements,Array
MEDIUM,Find Third Transaction,64.9,0.5369401765282772,https://leetcode.com/problems/find-third-transaction,Database
MEDIUM,Snakes and Ladders,64.9,0.4773179633677064,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
HARD,Word Search II,63.1,0.37263138895989245,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
HARD,Minimum Cost to Make Array Equal,63.1,0.4628490145849156,https://leetcode.com/problems/minimum-cost-to-make-array-equal,"Array, Binary Search, Greedy, Sorting, Prefix Sum"
MEDIUM,Find the Largest Area of Square Inside Two Rectangles,63.1,0.45009345009345014,https://leetcode.com/problems/find-the-largest-area-of-square-inside-two-rectangles,"Array, Math, Geometry"
HARD,Sum of k-Mirror Numbers,63.1,0.41486402966625463,https://leetcode.com/problems/sum-of-k-mirror-numbers,"Math, Enumeration"
MEDIUM,Maximum Subarray,63.1,0.5203999719288543,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Check if Binary String Has at Most One Segment of Ones,63.1,0.39022510135861305,https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones,String
MEDIUM,Implement Router,63.1,0.21594618328832038,https://leetcode.com/problems/implement-router,"Array, Hash Table, Binary Search, Design, Queue, Ordered Set"
MEDIUM,Number of Equal Count Substrings,63.1,0.44763491860017945,https://leetcode.com/problems/number-of-equal-count-substrings,"Hash Table, String, Sliding Window, Counting"
EASY,Happy Number,58.7,0.5798132874972347,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Two Sum,58.7,0.5568017705476543,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Max Points on a Line,58.7,0.28867082561118274,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
HARD,Cherry Pickup,56.1,0.37799711121810303,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
HARD,Trapping Rain Water,56.1,0.6495017330822875,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Valid Parentheses,56.1,0.4224527956856413,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Best Time to Buy and Sell Stock,53.1,0.551572678366905,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,49.5,0.36821885018191525,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
