Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Count Palindromic Subsequences,100.0,0.3889203702204593,https://leetcode.com/problems/count-palindromic-subsequences,"String, Dynamic Programming"
MEDIUM,Palindromic Substrings,94.4,0.7141024030766903,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Evaluate Division,75.0,0.6288199511936385,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
MEDIUM,Merge Intervals,68.9,0.4902750414082843,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Meeting Scheduler,68.9,0.5516870491199296,https://leetcode.com/problems/meeting-scheduler,"Array, Two Pointers, Sorting"
HARD,Employee Free Time,68.9,0.7254861912796376,https://leetcode.com/problems/employee-free-time,"Array, Sorting, Heap (Priority Queue)"
MEDIUM,Insert Delete GetRandom O(1),60.3,0.549680566060544,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Parallel Courses III,60.3,0.6676228503884797,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
HARD,LFU Cache,60.3,0.46074503916550635,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Find the Duplicate Number,60.3,0.6250911394808767,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
HARD,Binary Tree Maximum Path Sum,60.3,0.4102287512351752,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
