Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Non-decreasing Subarray From Two Arrays,100.0,0.2990001652619402,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,"Array, Dynamic Programming"
HARD,Binary Tree Maximum Path Sum,97.3,0.40956665502285733,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Delete and Earn,95.1,0.5665174188145665,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
MEDIUM,Minimum Knight Moves,93.4,0.4118107735763011,https://leetcode.com/problems/minimum-knight-moves,Breadth-First Search
MEDIUM,Minimum Equal Sum of Two Arrays After Replacing Zeros,81.1,0.36395605906138667,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,"Array, Greedy"
MEDIUM,Number of Good Binary Strings,77.8,0.5233101125315778,https://leetcode.com/problems/number-of-good-binary-strings,Dynamic Programming
HARD,LFU Cache,75.9,0.4595113369513143,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Palindromic Substrings,71.7,0.7133035488994107,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Longest String Chain,69.1,0.6173029556650246,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
MEDIUM,LRU Cache,69.1,0.44550537056427847,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Subarray Sums Divisible by K,69.1,0.5553478131222557,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Evaluate Reverse Polish Notation,66.3,0.5419155236352149,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
EASY,Best Time to Buy and Sell Stock,66.3,0.5482912563816301,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Serialize and Deserialize Binary Tree,63.0,0.5843138104289318,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
HARD,Minimum Operations to Make Numbers Non-positive,63.0,0.41475517273663515,https://leetcode.com/problems/minimum-operations-to-make-numbers-non-positive,"Array, Binary Search"
HARD,Sliding Window Maximum,63.0,0.4729974074620529,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Validate Binary Search Tree,59.1,0.3403274895074066,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Find the Duplicate Number,59.1,0.6241183730779494,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Permutations,59.1,0.8021910251523168,https://leetcode.com/problems/permutations,"Array, Backtracking"
HARD,Sudoku Solver,59.1,0.6367773759887032,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
HARD,Find Median from Data Stream,59.1,0.5303618305891136,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Design Search Autocomplete System,54.4,0.49291371135485706,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
HARD,Regular Expression Matching,54.4,0.29006023340086906,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Evaluate Division,54.4,0.6279811240187008,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
HARD,Robot Room Cleaner,54.4,0.7722443000033679,https://leetcode.com/problems/robot-room-cleaner,"Backtracking, Interactive"
HARD,Trapping Rain Water,54.4,0.643979338111257,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,N-Queens,54.4,0.7182422374735282,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Best Time to Buy and Sell Stock II,54.4,0.6895504611059099,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
HARD,Minimum Costs Using the Train Line,54.4,0.7751855779427359,https://leetcode.com/problems/minimum-costs-using-the-train-line,"Array, Dynamic Programming"
MEDIUM,Number of Islands,54.4,0.6170169400459833,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Group Anagrams,48.3,0.7043761613323031,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Count Ways To Build Good Strings,48.3,0.5928132478087875,https://leetcode.com/problems/count-ways-to-build-good-strings,Dynamic Programming
HARD,Median of Two Sorted Arrays,48.3,0.43064214857425986,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Maximum Length of Repeated Subarray,48.3,0.5097677870195727,https://leetcode.com/problems/maximum-length-of-repeated-subarray,"Array, Binary Search, Dynamic Programming, Sliding Window, Rolling Hash, Hash Function"
MEDIUM,Maximum Total Damage With Spell Casting,48.3,0.27216401270743307,https://leetcode.com/problems/maximum-total-damage-with-spell-casting,"Array, Hash Table, Two Pointers, Binary Search, Dynamic Programming, Sorting, Counting"
HARD,Couples Holding Hands,48.3,0.5816423849771434,https://leetcode.com/problems/couples-holding-hands,"Greedy, Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,3Sum,48.3,0.3653141531700171,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Merge k Sorted Lists,48.3,0.5594070491603078,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Rotting Oranges,48.3,0.5605285613093818,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Longest Increasing Path in a Matrix,48.3,0.5496205358151813,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
HARD,Best Time to Buy and Sell Stock III,48.3,0.5035511531858192,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
MEDIUM,Implement Trie (Prefix Tree),48.3,0.6754072842033436,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Length of Longest Subarray With at Most K Frequency,48.3,0.5591793080573212,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,"Array, Hash Table, Sliding Window"
MEDIUM,House Robber,48.3,0.5202375365564613,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Maximal Square,48.3,0.48309899036106413,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Minimum Height Trees,48.3,0.4195824569026364,https://leetcode.com/problems/minimum-height-trees,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Best Position for a Service Centre,39.8,0.34747256850096453,https://leetcode.com/problems/best-position-for-a-service-centre,"Array, Math, Geometry, Randomized"
MEDIUM,First Completely Painted Row or Column,39.8,0.6428069789480808,https://leetcode.com/problems/first-completely-painted-row-or-column,"Array, Hash Table, Matrix"
MEDIUM,Perfect Squares,39.8,0.5547785809713115,https://leetcode.com/problems/perfect-squares,"Math, Dynamic Programming, Breadth-First Search"
HARD,Parallel Courses III,39.8,0.6684763071595736,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
MEDIUM,Design Circular Queue,39.8,0.5240189105927853,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Word Search,39.8,0.4471708332247219,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Bus Routes,39.8,0.47018331086383486,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Combination Sum,39.8,0.7404330561422034,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Simplify Path,39.8,0.4679829478200715,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Subarray Sum Equals K,39.8,0.4500240153763498,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
HARD,The Skyline Problem,39.8,0.43684660644917656,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
MEDIUM,Search Suggestions System,39.8,0.650147735478492,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Longest Common Subsequence,39.8,0.5802384142390101,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
HARD,Basic Calculator,39.8,0.4498981749110268,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Permutations II,39.8,0.6108885078985826,https://leetcode.com/problems/permutations-ii,"Array, Backtracking, Sorting"
HARD,Transform to Chessboard,39.8,0.5051139187527793,https://leetcode.com/problems/transform-to-chessboard,"Array, Math, Bit Manipulation, Matrix"
MEDIUM,Knight Probability in Chessboard,39.8,0.5649380618578768,https://leetcode.com/problems/knight-probability-in-chessboard,Dynamic Programming
MEDIUM,Insert Delete GetRandom O(1),39.8,0.5493273737954589,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Alien Dictionary,39.8,0.3646072301726628,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Best Time to Buy and Sell Stock IV,39.8,0.46175381343351707,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming"
HARD,Word Ladder,39.8,0.419822504810247,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Populating Next Right Pointers in Each Node II,39.8,0.549668919179128,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Unique Paths,39.8,0.6546154414793068,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
EASY,Valid Parentheses,39.8,0.4191691857402028,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Container With Most Water,39.8,0.5726803759137287,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Fizz Buzz,39.8,0.7398618549045967,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
