Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Non-decreasing Subarray From Two Arrays,100.0,0.2972970268295856,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,"Array, Dynamic Programming"
HARD,Binary Tree Maximum Path Sum,98.7,0.4111828446034822,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Minimum Knight Moves,93.4,0.412620728894429,https://leetcode.com/problems/minimum-knight-moves,Breadth-First Search
MEDIUM,Delete and Earn,93.4,0.566818736581539,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
MEDIUM,Palindromic Substrings,86.5,0.7152152246408093,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
HARD,Sliding Window Maximum,85.3,0.47465366217307575,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
HARD,Count Palindromic Subsequences,81.3,0.392508992336965,https://leetcode.com/problems/count-palindromic-subsequences,"String, Dynamic Programming"
HARD,LFU Cache,81.3,0.4627928056428496,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Minimum Equal Sum of Two Arrays After Replacing Zeros,79.8,0.5010310436408277,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,"Array, Greedy"
HARD,Minimum Operations to Make Numbers Non-positive,78.1,0.42045454545454547,https://leetcode.com/problems/minimum-operations-to-make-numbers-non-positive,"Array, Binary Search"
MEDIUM,Number of Good Binary Strings,76.4,0.5248705829394553,https://leetcode.com/problems/number-of-good-binary-strings,Dynamic Programming
MEDIUM,Maximum Total Damage With Spell Casting,76.4,0.2754398150350615,https://leetcode.com/problems/maximum-total-damage-with-spell-casting,"Array, Hash Table, Two Pointers, Binary Search, Dynamic Programming, Sorting, Counting"
HARD,Minimum Costs Using the Train Line,74.5,0.7753349962294798,https://leetcode.com/problems/minimum-costs-using-the-train-line,"Array, Dynamic Programming"
MEDIUM,Maximum Length of Repeated Subarray,74.5,0.5099380163710152,https://leetcode.com/problems/maximum-length-of-repeated-subarray,"Array, Binary Search, Dynamic Programming, Sliding Window, Rolling Hash, Hash Function"
HARD,Best Position for a Service Centre,74.5,0.3479550102249489,https://leetcode.com/problems/best-position-for-a-service-centre,"Array, Math, Geometry, Randomized"
MEDIUM,LRU Cache,72.4,0.4493678605172342,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,First Completely Painted Row or Column,72.4,0.6395929114770542,https://leetcode.com/problems/first-completely-painted-row-or-column,"Array, Hash Table, Matrix"
MEDIUM,Evaluate Division,72.4,0.6298765890814512,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
MEDIUM,Longest String Chain,70.0,0.6185620129242791,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
HARD,Serialize and Deserialize Binary Tree,67.4,0.5872336342492577,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
