Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Palindrome Number,100.0,0.5874958365441272,https://leetcode.com/problems/palindrome-number,Math
EASY,Fibonacci Number,80.1,0.7259638740729497,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
MEDIUM,Managers with at Least 5 Direct Reports,80.1,0.49087585815132256,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Database
MEDIUM,Reverse Integer,73.0,0.29923652351105684,https://leetcode.com/problems/reverse-integer,Math
EASY,Two Sum,73.0,0.5518558842258215,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,73.0,0.4191717114309299,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Longest Common Prefix,73.0,0.4498053951368416,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Merge Two Sorted Lists,63.1,0.6636968163577941,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Consecutive Numbers,63.1,0.454978998373132,https://leetcode.com/problems/consecutive-numbers,Database
EASY,Binary Search,63.1,0.5920647949522992,https://leetcode.com/problems/binary-search,"Array, Binary Search"
EASY,Move Zeroes,63.1,0.6257732725318205,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Counter,63.1,0.821127451420231,https://leetcode.com/problems/counter,
MEDIUM,3Sum,63.1,0.3653151745399262,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Happy Number,63.1,0.5763526532396345,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Smallest Value of the Rearranged Number,63.1,0.5265624210579498,https://leetcode.com/problems/smallest-value-of-the-rearranged-number,"Math, Sorting"
MEDIUM,Count Primes,63.1,0.34485632227677443,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory"
EASY,Valid Anagram,63.1,0.662277442411054,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Maximum Subarray,63.1,0.5179058080478068,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Merge Sorted Array,63.1,0.5235326703446699,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
