Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Simple Bank System,100.0,0.6144214480371216,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Zigzag Iterator,98.8,0.6565818976616817,https://leetcode.com/problems/zigzag-iterator,"Array, Design, Queue, Iterator"
MEDIUM,Time Based Key-Value Store,91.4,0.49332869057407996,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
EASY,Decode the Message,89.6,0.85383697966093,https://leetcode.com/problems/decode-the-message,"Hash Table, String"
HARD,Design In-Memory File System,85.4,0.4815038869924224,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
HARD,Text Justification,68.2,0.4797849207010281,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Design File System,68.2,0.6408708033830266,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
MEDIUM,Check if There is a Valid Partition For The Array,62.2,0.5192909677875952,https://leetcode.com/problems/check-if-there-is-a-valid-partition-for-the-array,"Array, Dynamic Programming"
MEDIUM,Random Pick with Weight,62.2,0.4821636276387786,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Number of Orders in the Backlog,53.7,0.5169924016179639,https://leetcode.com/problems/number-of-orders-in-the-backlog,"Array, Heap (Priority Queue), Simulation"
MEDIUM,Evaluate Division,53.7,0.6307147852699441,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
MEDIUM,Find the Length of the Longest Common Prefix,53.7,0.5638917063842628,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
