Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.4493689575646951,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Time Based Key-Value Store,93.2,0.4929497378781388,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Valid Sudoku,85.0,0.6206527269276307,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,Minimum Time to Eat All Grains,85.0,0.3929612194575207,https://leetcode.com/problems/minimum-time-to-eat-all-grains,"Array, Two Pointers, Binary Search, Sorting"
HARD,Sudoku Solver,77.7,0.6375743194940422,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
HARD,Regular Expression Matching,66.4,0.29179851227810405,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
HARD,Wildcard Matching,66.4,0.2968682734448992,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Debounce,66.4,0.9180619878874243,https://leetcode.com/problems/debounce,
MEDIUM,Design Authentication Manager,66.4,0.5766618911174786,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Count Subarrays With Median K,52.4,0.45181409295352326,https://leetcode.com/problems/count-subarrays-with-median-k,"Array, Hash Table, Prefix Sum"
HARD,Number of Atoms,52.4,0.6500320140187703,https://leetcode.com/problems/number-of-atoms,"Hash Table, String, Stack, Sorting"
MEDIUM,Combination Sum,52.4,0.7439597067235959,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
