Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.4471779407222997,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Design In-Memory File System,96.5,0.4810280283349201,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
HARD,LFU Cache,92.5,0.4607467170306805,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Possible Bipartition,92.5,0.5127998927757673,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Unique Paths II,92.5,0.42885518224391234,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Unique Paths,87.7,0.6553765872325621,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Design Twitter,87.7,0.4177231565329883,https://leetcode.com/problems/design-twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)"
HARD,Regular Expression Matching,87.7,0.2906633628293123,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Word Break,81.8,0.480206119498672,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Subsets,81.8,0.804724273207934,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Decode String,81.8,0.6084055280209969,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Longest Repeating Substring,74.3,0.6291254368109565,https://leetcode.com/problems/longest-repeating-substring,"String, Binary Search, Dynamic Programming, Rolling Hash, Suffix Array, Hash Function"
MEDIUM,Longest Substring with At Most K Distinct Characters,74.3,0.4938748673769881,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window"
MEDIUM,Basic Calculator II,74.3,0.454543248187233,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Search a 2D Matrix,74.3,0.5194474956577813,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Course Schedule,74.3,0.48714216611354916,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Search a 2D Matrix II,63.7,0.5467776287765244,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
HARD,Maximum Number of Tasks You Can Assign,63.7,0.3449721916545222,https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign,"Array, Binary Search, Greedy, Queue, Sorting, Monotonic Queue"
HARD,Basic Calculator III,63.7,0.521333722457318,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
HARD,Sliding Window Maximum,63.7,0.4736674457121278,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Increasing Triplet Subsequence,63.7,0.3914144972628197,https://leetcode.com/problems/increasing-triplet-subsequence,"Array, Greedy"
HARD,Longest Duplicate Substring,63.7,0.3068125107378652,https://leetcode.com/problems/longest-duplicate-substring,"String, Binary Search, Sliding Window, Rolling Hash, Suffix Array, Hash Function"
MEDIUM,Split BST,63.7,0.824514859749009,https://leetcode.com/problems/split-bst,"Tree, Binary Search Tree, Recursion, Binary Tree"
HARD,Range Module,63.7,0.4412220429360661,https://leetcode.com/problems/range-module,"Design, Segment Tree, Ordered Set"
HARD,Number of Atoms,63.7,0.6501173535195484,https://leetcode.com/problems/number-of-atoms,"Hash Table, String, Stack, Sorting"
EASY,Find Pivot Index,63.7,0.6014224439795298,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
HARD,Basic Calculator,63.7,0.4515352786008839,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Number of Islands,63.7,0.6186239107481473,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Bus Routes,63.7,0.4698188994982557,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Cheapest Flights Within K Stops,63.7,0.40164547793006294,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Pacific Atlantic Water Flow,63.7,0.5711306074175031,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
