Difficulty,Title,Frequency,Acceptance Rate,Link
HARD,Number of Music Playlists,100.0,0.6026392961876833,https://leetcode.com/problems/number-of-music-playlists
HARD,Reaching Points,97.8,0.33463824516319873,https://leetcode.com/problems/reaching-points
MEDIUM,Highest Grade For Each Student,97.8,0.7091442450241303,https://leetcode.com/problems/highest-grade-for-each-student
MEDIUM,Minimum Moves to Equal Array Elements,97.8,0.5737560209775899,https://leetcode.com/problems/minimum-moves-to-equal-array-elements
EASY,N-th Tribonacci Number,97.8,0.6371453470494711,https://leetcode.com/problems/n-th-tribonacci-number
MEDIUM,Minimum Increment to Make Array Unique,97.8,0.601487560042848,https://leetcode.com/problems/minimum-increment-to-make-array-unique
HARD,Special Binary String,97.8,0.6273489882437836,https://leetcode.com/problems/special-binary-string
HARD,Text Justification,95.4,0.4632772731903718,https://leetcode.com/problems/text-justification
MEDIUM,Rank Teams by Votes,89.6,0.5882512879221523,https://leetcode.com/problems/rank-teams-by-votes
MEDIUM,Search Suggestions System,70.0,0.6506318097189631,https://leetcode.com/problems/search-suggestions-system
HARD,Regular Expression Matching,60.7,0.28739820877308636,https://leetcode.com/problems/regular-expression-matching
HARD,Wildcard Matching,60.7,0.2907023377728089,https://leetcode.com/problems/wildcard-matching
