Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,String Compression,100.0,0.5738989289639835,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Number of Islands,86.9,0.6170192096985747,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Merge Intervals,86.9,0.488815386143844,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Trapping Rain Water,86.9,0.6439791355826732,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Best Time to Buy and Sell Stock,76.4,0.5482909105895056,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Move Zeroes,76.4,0.6257735610401998,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Time Based Key-Value Store,76.4,0.49369450555275785,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Spiral Matrix,76.4,0.5309644416370642,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Encode and Decode Strings,76.4,0.49062614558263334,https://leetcode.com/problems/encode-and-decode-strings,"Array, String, Design"
EASY,Squares of a Sorted Array,76.4,0.7311201601308726,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
