Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Unique Paths II,100.0,0.42885549085480756,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
HARD,Unique Paths III,100.0,0.8224273185377353,https://leetcode.com/problems/unique-paths-iii,"Array, Backtracking, Bit Manipulation, Matrix"
MEDIUM,Merge Intervals,92.2,0.49027720571243416,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,LRU Cache,92.2,0.44718109273876877,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,92.2,0.6186225017738883,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Two Sum,81.2,0.5533869858338669,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Palindrome Permutation II,81.2,0.4207423142061601,https://leetcode.com/problems/palindrome-permutation-ii,"Hash Table, String, Backtracking"
MEDIUM,Unique Paths,81.2,0.6553757845453623,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Meeting Rooms II,81.2,0.5200561916219263,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Synonymous Sentences,81.2,0.5648424259326797,https://leetcode.com/problems/synonymous-sentences,"Array, Hash Table, String, Backtracking, Union Find"
