Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Synonymous Sentences,100.0,0.5648424259326797,https://leetcode.com/problems/synonymous-sentences,"Array, Hash Table, String, Backtracking, Union Find"
MEDIUM,Unique Paths II,79.6,0.42885533363663325,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
HARD,Unique Paths III,79.6,0.8224273185377353,https://leetcode.com/problems/unique-paths-iii,"Array, Backtracking, Bit Manipulation, Matrix"
MEDIUM,Merge Intervals,73.2,0.49027720571243416,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,LRU Cache,73.2,0.44718109273876877,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,73.2,0.6186225017738883,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Two Sum,64.2,0.5533869675866872,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Palindrome Permutation II,64.2,0.4207423142061601,https://leetcode.com/problems/palindrome-permutation-ii,"Hash Table, String, Backtracking"
MEDIUM,Unique Paths,64.2,0.6553755945511329,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Meeting Rooms II,64.2,0.5200561916219263,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Meeting Rooms,64.2,0.5883910669312665,https://leetcode.com/problems/meeting-rooms,"Array, Sorting"
MEDIUM,Minimum Height Trees,64.2,0.4190977374900423,https://leetcode.com/problems/minimum-height-trees,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Course Schedule,64.2,0.4871444710131728,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
