Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Find Minimum Cost to Remove Array Elements,100.0,0.16955734450334883,https://leetcode.com/problems/find-minimum-cost-to-remove-array-elements,"Array, Dynamic Programming"
MEDIUM,Maximum Points Tourist Can Earn,96.2,0.4956707341629415,https://leetcode.com/problems/maximum-points-tourist-can-earn,"Array, Dynamic Programming, Matrix"
HARD,Binary Tree Cameras,94.0,0.4703320631464344,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Minimize Connected Groups by Inserting Interval,94.0,0.527689369828135,https://leetcode.com/problems/minimize-connected-groups-by-inserting-interval,"Array, Binary Search, Sliding Window, Sorting"
HARD,Minimum Runes to Add to Cast Spell,94.0,0.4607734806629834,https://leetcode.com/problems/minimum-runes-to-add-to-cast-spell,"Array, Depth-First Search, Breadth-First Search, Union Find, Graph, Topological Sort"
MEDIUM,Shortest Subarray to be Removed to Make Array Sorted,66.7,0.5168859542865701,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted,"Array, Two Pointers, Binary Search, Stack, Monotonic Stack"
HARD,Consecutive Numbers Sum,66.7,0.4201397362545984,https://leetcode.com/problems/consecutive-numbers-sum,"Math, Enumeration"
HARD,Count the Number of Incremovable Subarrays II,57.5,0.4018397070096244,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,"Array, Two Pointers, Binary Search"
HARD,Minimum Number of Taps to Open to Water a Garden,57.5,0.5070064146987224,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Flatten Nested List Iterator,57.5,0.6520611211974853,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Heaters,57.5,0.3947130255470272,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Maximum Product Subarray,57.5,0.345834669119354,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
HARD,Median of Two Sorted Arrays,57.5,0.4306425453703063,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Find First and Last Position of Element in Sorted Array,57.5,0.46241801779260294,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
EASY,Majority Element,57.5,0.6552297047685732,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
