Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Binary Tree Cameras,100.0,0.4714687300759288,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Maximum Points Tourist Can Earn,92.0,0.45976683660736567,https://leetcode.com/problems/maximum-points-tourist-can-earn,"Array, Dynamic Programming, Matrix"
MEDIUM,Minimize Connected Groups by Inserting Interval,89.6,0.5057232049947971,https://leetcode.com/problems/minimize-connected-groups-by-inserting-interval,"Array, Binary Search, Sliding Window, Sorting"
MEDIUM,Find Peak Calling Hours for Each City,89.6,0.6171058134671685,https://leetcode.com/problems/find-peak-calling-hours-for-each-city,Database
MEDIUM,Letter Combinations of a Phone Number,89.6,0.637300682259012,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
HARD,Count the Number of Incremovable Subarrays II,83.8,0.38931418199037165,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,"Array, Two Pointers, Binary Search"
HARD,Minimum Number of Refueling Stops,76.4,0.40530168298481756,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
MEDIUM,Number of Wonderful Substrings,76.4,0.6665667258623739,https://leetcode.com/problems/number-of-wonderful-substrings,"Hash Table, String, Bit Manipulation, Prefix Sum"
MEDIUM,Minimum Size Subarray in Infinite Array,76.4,0.31160561260746583,https://leetcode.com/problems/minimum-size-subarray-in-infinite-array,"Array, Hash Table, Sliding Window, Prefix Sum"
EASY,Best Time to Buy and Sell Stock,76.4,0.551572982990793,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Insert Delete GetRandom O(1),71.8,0.5496114713774598,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Painting the Walls,71.8,0.4848283664496548,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
MEDIUM,House Robber,71.8,0.5224412497805926,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
HARD,K-th Smallest in Lexicographical Order,66.0,0.4200721997100106,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,Trie
HARD,Minimum Number of Taps to Open to Water a Garden,66.0,0.5071250737648534,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
HARD,Median of Two Sorted Arrays,66.0,0.4365011255014563,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Best Time to Buy and Sell Stock II,66.0,0.6938084825236204,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Remove K Digits,66.0,0.34811436657995065,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Removing Minimum Number of Magic Beans,66.0,0.4357580067204863,https://leetcode.com/problems/removing-minimum-number-of-magic-beans,"Array, Greedy, Sorting, Enumeration, Prefix Sum"
HARD,Sliding Window Maximum,66.0,0.4753673005889086,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Maximum Subarray,66.0,0.5204000841713547,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Consecutive Sequence,66.0,0.4704922926492049,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
HARD,Minimum Cost Walk in Weighted Graph,58.7,0.6852089814689571,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph,"Array, Bit Manipulation, Union Find, Graph"
MEDIUM,Minimum Number of Pushes to Type Word II,58.7,0.7990513931561014,https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-ii,"Hash Table, String, Greedy, Sorting, Counting"
MEDIUM,Find the Smallest Divisor Given a Threshold,58.7,0.6337894434823174,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
EASY,Majority Element,58.7,0.6570105685696467,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
HARD,Max Sum of Rectangle No Larger Than K,58.7,0.4465264486908424,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k,"Array, Binary Search, Matrix, Prefix Sum, Ordered Set"
MEDIUM,Koko Eating Bananas,58.7,0.4905259406910837,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Maximum Performance of a Team,58.7,0.4751633318773641,https://leetcode.com/problems/maximum-performance-of-a-team,"Array, Greedy, Sorting, Heap (Priority Queue)"
HARD,Maximal Rectangle,58.7,0.5352168179546254,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
MEDIUM,Max Number of K-Sum Pairs,58.7,0.5620865524842358,https://leetcode.com/problems/max-number-of-k-sum-pairs,"Array, Hash Table, Two Pointers, Sorting"
MEDIUM,Basic Calculator II,58.7,0.45723056591825784,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Average Waiting Time,58.7,0.7306399312919567,https://leetcode.com/problems/average-waiting-time,"Array, Simulation"
MEDIUM,Sum Game,58.7,0.483617166212534,https://leetcode.com/problems/sum-game,"Math, String, Greedy, Game Theory"
EASY,Relative Sort Array,58.7,0.7491608184404819,https://leetcode.com/problems/relative-sort-array,"Array, Hash Table, Sorting, Counting Sort"
MEDIUM,Maximum Product Subarray,58.7,0.3486281929990539,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Generate Parentheses,58.7,0.770280659651754,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Maximum Subsequence Score,58.7,0.5422809203280933,https://leetcode.com/problems/maximum-subsequence-score,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Min Cost to Connect All Points,58.7,0.6886715863128502,https://leetcode.com/problems/min-cost-to-connect-all-points,"Array, Union Find, Graph, Minimum Spanning Tree"
HARD,Put Marbles in Bags,58.7,0.7245941189266151,https://leetcode.com/problems/put-marbles-in-bags,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Task Scheduler,58.7,0.6142512530095758,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Trapping Rain Water,58.7,0.649501837566537,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Jump Game II,58.7,0.4142477474963091,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Maximal Square,58.7,0.4864964079703837,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
HARD,Largest Rectangle in Histogram,58.7,0.47218567322589317,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Equal Row and Column Pairs,48.4,0.7048745988853234,https://leetcode.com/problems/equal-row-and-column-pairs,"Array, Hash Table, Matrix, Simulation"
