Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Coin Change,100.0,0.4567930265541398,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Maximum Depth of N-ary Tree,84.2,0.7272791071416038,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,"Tree, Depth-First Search, Breadth-First Search"
MEDIUM,Design Circular Queue,81.8,0.5228739357445902,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
EASY,Valid Word Abbreviation,62.4,0.36592456909175136,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
HARD,Maximum Vacation Days,62.4,0.46132298820937157,https://leetcode.com/problems/maximum-vacation-days,"Array, Dynamic Programming, Matrix"
HARD,Sliding Window Median,62.4,0.38692300526869433,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
HARD,Binary Tree Maximum Path Sum,54.4,0.408401520003652,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
EASY,Check If It Is a Straight Line,54.4,0.3961469562211257,https://leetcode.com/problems/check-if-it-is-a-straight-line,"Array, Math, Geometry"
EASY,Most Common Word,54.4,0.4446499952680748,https://leetcode.com/problems/most-common-word,"Array, Hash Table, String, Counting"
EASY,Unique Number of Occurrences,54.4,0.7796453888038621,https://leetcode.com/problems/unique-number-of-occurrences,"Array, Hash Table"
MEDIUM,Binary Search Tree to Greater Sum Tree,54.4,0.8831608866704795,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,People Whose List of Favorite Companies Is Not a Subset of Another List,54.4,0.5914703042504673,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,"Array, Hash Table, String"
EASY,Odd String Difference,54.4,0.6051311597641158,https://leetcode.com/problems/odd-string-difference,"Array, Hash Table, String"
EASY,Find Words That Can Be Formed by Characters,54.4,0.7086846678086834,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,"Array, Hash Table, String, Counting"
EASY,Greatest Common Divisor of Strings,54.4,0.5242914301467173,https://leetcode.com/problems/greatest-common-divisor-of-strings,"Math, String"
