Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Coin Change,100.0,0.463653774286263,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Most Common Word,91.0,0.4456045509919944,https://leetcode.com/problems/most-common-word,"Array, Hash Table, String, Counting"
EASY,Maximum Depth of N-ary Tree,89.9,0.7289293385633223,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,"Tree, Depth-First Search, Breadth-First Search"
EASY,Valid Word Abbreviation,87.6,0.36827098458779906,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
MEDIUM,Design Circular Queue,86.3,0.525661852286944,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Meeting Scheduler,80.2,0.5524785757979408,https://leetcode.com/problems/meeting-scheduler,"Array, Two Pointers, Sorting"
HARD,Maximum Vacation Days,68.2,0.4636064057350986,https://leetcode.com/problems/maximum-vacation-days,"Array, Dynamic Programming, Matrix"
HARD,Sliding Window Median,68.2,0.3867006599309643,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
MEDIUM,People Whose List of Favorite Companies Is Not a Subset of Another List,68.2,0.5925748640575936,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,"Array, Hash Table, String"
MEDIUM,Design Add and Search Words Data Structure,64.6,0.46975883069427526,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
HARD,Binary Tree Maximum Path Sum,64.6,0.41163600188524335,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,House Robber,64.6,0.5224403448880499,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Check If It Is a Straight Line,54.5,0.3967764869881985,https://leetcode.com/problems/check-if-it-is-a-straight-line,"Array, Math, Geometry"
MEDIUM,House Robber II,54.5,0.43477612090077833,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
MEDIUM,Binary Search Tree to Greater Sum Tree,46.5,0.8826050373029674,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Greatest Common Divisor of Strings,46.5,0.5266481042461197,https://leetcode.com/problems/greatest-common-divisor-of-strings,"Math, String"
EASY,Find Words That Can Be Formed by Characters,46.5,0.7102763970208932,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,"Array, Hash Table, String, Counting"
EASY,Odd String Difference,46.5,0.6098609033325907,https://leetcode.com/problems/odd-string-difference,"Array, Hash Table, String"
EASY,Unique Number of Occurrences,46.5,0.7825920757685971,https://leetcode.com/problems/unique-number-of-occurrences,"Array, Hash Table"
EASY,Path Sum,46.5,0.5289099445892729,https://leetcode.com/problems/path-sum,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
