Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5577698935805033,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Merge k Sorted Lists,85.4,0.5677423817534303,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Palindrome Number,77.9,0.5922447925324843,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Reverse Integer,77.9,0.3030899221460467,https://leetcode.com/problems/reverse-integer,Math
EASY,Valid Parentheses,67.3,0.4232287331904933,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Pascal's Triangle,67.3,0.7702154336843631,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Climbing Stairs,67.3,0.5354075759623981,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Change Null Values in a Table to the Previous Value,67.3,0.5152052486922599,https://leetcode.com/problems/change-null-values-in-a-table-to-the-previous-value,Database
EASY,Majority Element,67.3,0.657403393726359,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Managers with at Least 5 Direct Reports,67.3,0.48939672823644015,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Database
EASY,Best Time to Buy and Sell Stock,67.3,0.5525964364560344,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Find Customer Referee,67.3,0.7170904181686228,https://leetcode.com/problems/find-customer-referee,Database
EASY,Article Views I,67.3,0.7714447529870836,https://leetcode.com/problems/article-views-i,Database
EASY,Longest Common Prefix,67.3,0.4548314437013565,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
