Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Change Null Values in a Table to the Previous Value,100.0,0.5146741678387248,https://leetcode.com/problems/change-null-values-in-a-table-to-the-previous-value,Database
EASY,Two Sum,97.4,0.5518549907379037,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Palindrome Number,77.3,0.5874954598814343,https://leetcode.com/problems/palindrome-number,Math
HARD,Merge k Sorted Lists,77.3,0.5594077693207938,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Second Highest Salary,70.2,0.4309696407699025,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Reverse Integer,70.2,0.299235644420914,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Managers with at Least 5 Direct Reports,70.2,0.4908823163493898,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Database
MEDIUM,Longest Palindromic Substring,70.2,0.3537826649720003,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Palindrome,70.2,0.5028458592330177,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Valid Parentheses,70.2,0.4191708617509662,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Majority Element,60.3,0.6552303819150842,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
EASY,Best Time to Buy and Sell Stock,60.3,0.5482907734809426,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Pascal's Triangle,60.3,0.7651490332450686,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Find Customer Referee,60.3,0.7162517730669307,https://leetcode.com/problems/find-customer-referee,Database
EASY,Article Views I,60.3,0.771478291459096,https://leetcode.com/problems/article-views-i,Database
EASY,Longest Common Prefix,60.3,0.449804954844509,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Maximum Subarray,60.3,0.5179056918333562,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Climbing Stairs,60.3,0.5337009884135229,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Reverse Linked List,60.3,0.7873626350533816,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Search in Rotated Sorted Array II,60.3,0.3862661430881334,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,"Array, Binary Search"
MEDIUM,Edit Distance,60.3,0.582844406969849,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Minimum Time to Repair Cars,60.3,0.6033977583620157,https://leetcode.com/problems/minimum-time-to-repair-cars,"Array, Binary Search"
MEDIUM,Coin Change,60.3,0.45914591264925586,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
