Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Ransom Note,100.0,0.6452368869682432,https://leetcode.com/problems/ransom-note,"Hash Table, String, Counting"
MEDIUM,Merge Intervals,100.0,0.493952574621571,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,LRU Cache,100.0,0.4521484931675215,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Max Area of Island,91.6,0.7316427664618339,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Remove All Adjacent Duplicates in String II,91.6,0.5960173343469628,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Generate Parentheses,91.6,0.7713291799018006,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Search in Rotated Sorted Array,79.8,0.4283731773782037,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Subarray Sum Equals K,79.8,0.45476343242314937,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Longest Palindromic Substring,79.8,0.3584617187764493,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Group Anagrams,79.8,0.709289019979725,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Longest Common Prefix,79.8,0.4548317505066894,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Reverse Linked List II,79.8,0.49591806221442425,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
EASY,Climbing Stairs,79.8,0.5354078194126206,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Valid Parentheses,79.8,0.42322891305904276,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Valid Anagram,79.8,0.6666099763648226,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Egg Drop With 2 Eggs and N Floors,79.8,0.7373311247994203,https://leetcode.com/problems/egg-drop-with-2-eggs-and-n-floors,"Math, Dynamic Programming"
MEDIUM,Number of Islands,79.8,0.6232013751253481,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Valid Word Abbreviation,79.8,0.36851533163705213,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
MEDIUM,Product of Array Except Self,79.8,0.6778005728606573,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
