Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Rotting Oranges,100.0,0.561814046264299,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Copy List with Random Pointer,100.0,0.5987554722852632,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Merge Intervals,93.5,0.49027558387797315,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Product of Array Except Self,93.5,0.6750769917626355,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
HARD,Reaching Points,85.2,0.3354454441769104,https://leetcode.com/problems/reaching-points,Math
MEDIUM,3Sum,85.2,0.3666546086566964,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Design Authentication Manager,85.2,0.5801591686201902,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Sort Colors,85.2,0.6663772158678495,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Excel Sheet Column Number,85.2,0.6542971529125498,https://leetcode.com/problems/excel-sheet-column-number,"Math, String"
MEDIUM,Implement Trie (Prefix Tree),85.2,0.6768000016892998,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
EASY,Two Sum,73.5,0.5533860047900768,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Binary Tree Level Order Traversal,73.5,0.7009545849887131,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,LRU Cache,73.5,0.44717878353157015,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Binary Tree Zigzag Level Order Traversal,73.5,0.6124394260454284,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Reorder Routes to Make All Paths Lead to the City Zero,73.5,0.6479379603162748,https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero,"Depth-First Search, Breadth-First Search, Graph"
HARD,Find Median from Data Stream,73.5,0.5311633812680464,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
EASY,Palindrome Permutation,73.5,0.6844098036119849,https://leetcode.com/problems/palindrome-permutation,"Hash Table, String, Bit Manipulation"
MEDIUM,Top K Frequent Elements,73.5,0.6425179623130339,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,IPO,73.5,0.5300768819454597,https://leetcode.com/problems/ipo,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Optimal Partition of String,73.5,0.7815865981099583,https://leetcode.com/problems/optimal-partition-of-string,"Hash Table, String, Greedy"
MEDIUM,Boats to Save People,73.5,0.6003436231376347,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,73.5,0.36543971131516545,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Clone Graph,73.5,0.6160833362650436,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
EASY,Valid Parentheses,73.5,0.42023631219123536,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Minesweeper,73.5,0.6787898881678451,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Inorder Successor in BST,73.5,0.5054626130251396,https://leetcode.com/problems/inorder-successor-in-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
