Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Walls and Gates,100.0,0.626194584662533,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
HARD,Longest Increasing Path in a Matrix,95.4,0.5496205358151813,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
HARD,Binary Tree Maximum Path Sum,84.7,0.4095662107143903,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Search Suggestions System,81.9,0.650147735478492,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Koko Eating Bananas,72.5,0.489033960825752,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Maximum Profit in Job Scheduling,69.9,0.5433786486025639,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Count Nodes With the Highest Score,66.9,0.5093100007675186,https://leetcode.com/problems/count-nodes-with-the-highest-score,"Array, Tree, Depth-First Search, Binary Tree"
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,63.3,0.8218031333455871,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Minimum Size Subarray Sum,63.3,0.488374482935315,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Design File System,59.0,0.6384438743474283,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
HARD,Minimize Malware Spread,53.4,0.4220744153615838,https://leetcode.com/problems/minimize-malware-spread,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,4Sum,53.4,0.37682287362804834,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Basic Calculator II,53.4,0.4533781111926362,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,01 Matrix,53.4,0.507850555926963,https://leetcode.com/problems/01-matrix,"Array, Dynamic Programming, Breadth-First Search, Matrix"
HARD,Serialize and Deserialize Binary Tree,53.4,0.5843138104289318,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Next Greater Element III,53.4,0.34420736569030497,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
EASY,Buddy Strings,45.6,0.33544252382993667,https://leetcode.com/problems/buddy-strings,"Hash Table, String"
MEDIUM,Max Area of Island,45.6,0.7295488290777541,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Word Search II,45.6,0.37052912219154266,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
EASY,Check if One String Swap Can Make Strings Equal,45.6,0.4945242943232473,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,"Hash Table, String, Counting"
MEDIUM,Most Profit Assigning Work,45.6,0.55838812906586,https://leetcode.com/problems/most-profit-assigning-work,"Array, Two Pointers, Binary Search, Greedy, Sorting"
HARD,Vertical Order Traversal of a Binary Tree,45.6,0.5050211185551995,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
HARD,Sliding Window Median,45.6,0.3865035720477814,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
EASY,Find Nearest Point That Has the Same X or Y Coordinate,45.6,0.6920278737091113,https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate,Array
HARD,Largest Rectangle in Histogram,45.6,0.46695318098673444,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
