Difficulty,Title,Frequency,Acceptance Rate,Link
MEDIUM,Walls and Gates,100.0,0.6225322221282117,https://leetcode.com/problems/walls-and-gates
HARD,Binary Tree Maximum Path Sum,99.2,0.4069367809986815,https://leetcode.com/problems/binary-tree-maximum-path-sum
HARD,Maximum Profit in Job Scheduling,92.4,0.5432334424173226,https://leetcode.com/problems/maximum-profit-in-job-scheduling
HARD,Longest Increasing Path in a Matrix,89.6,0.5459799426827036,https://leetcode.com/problems/longest-increasing-path-in-a-matrix
MEDIUM,Most Profit Assigning Work,82.7,0.5585326334190337,https://leetcode.com/problems/most-profit-assigning-work
MEDIUM,Koko Eating Bananas,80.6,0.4868794787713096,https://leetcode.com/problems/koko-eating-bananas
EASY,Check if One String Swap Can Make Strings Equal,80.0,0.4604188190264154,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal
MEDIUM,Design File System,78.9,0.6359392900764081,https://leetcode.com/problems/design-file-system
MEDIUM,Find K Closest Elements,75.6,0.48144587726004157,https://leetcode.com/problems/find-k-closest-elements
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,74.1,0.8211011461270433,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram
MEDIUM,Search Suggestions System,73.3,0.6505649285149212,https://leetcode.com/problems/search-suggestions-system
EASY,Find Nearest Point That Has the Same X or Y Coordinate,70.7,0.6906009297467888,https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate
EASY,Buddy Strings,70.7,0.3338275034500079,https://leetcode.com/problems/buddy-strings
MEDIUM,Single-Threaded CPU,70.7,0.45985837617615677,https://leetcode.com/problems/single-threaded-cpu
HARD,Basic Calculator III,68.7,0.5156493398466447,https://leetcode.com/problems/basic-calculator-iii
MEDIUM,Count Sub Islands,68.7,0.7282439710877462,https://leetcode.com/problems/count-sub-islands
MEDIUM,Asteroid Collision,67.6,0.44934118798845435,https://leetcode.com/problems/asteroid-collision
MEDIUM,Next Greater Element III,67.6,0.343491179612422,https://leetcode.com/problems/next-greater-element-iii
HARD,Making A Large Island,65.3,0.4951799798026808,https://leetcode.com/problems/making-a-large-island
HARD,Shortest Distance from All Buildings,64.0,0.43655004301691996,https://leetcode.com/problems/shortest-distance-from-all-buildings
HARD,Count All Valid Pickup and Delivery Options,64.0,0.6489206140551996,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options
HARD,Serialize and Deserialize Binary Tree,62.6,0.5798680060916557,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
MEDIUM,Immediate Food Delivery II,59.5,0.5325541593185265,https://leetcode.com/problems/immediate-food-delivery-ii
EASY,Immediate Food Delivery I,59.5,0.808425707311217,https://leetcode.com/problems/immediate-food-delivery-i
HARD,Best Meeting Point,59.5,0.6113123814350384,https://leetcode.com/problems/best-meeting-point
MEDIUM,Interval List Intersections,59.5,0.7224371283592612,https://leetcode.com/problems/interval-list-intersections
MEDIUM,Course Schedule II,59.5,0.521331245372301,https://leetcode.com/problems/course-schedule-ii
MEDIUM,Count Nodes With the Highest Score,59.5,0.506169432087541,https://leetcode.com/problems/count-nodes-with-the-highest-score
MEDIUM,Task Scheduler,57.7,0.6072305839602888,https://leetcode.com/problems/task-scheduler
HARD,Subsequence With the Minimum Score,57.7,0.3226118220126029,https://leetcode.com/problems/subsequence-with-the-minimum-score
MEDIUM,Mice and Cheese,57.7,0.46685279975182253,https://leetcode.com/problems/mice-and-cheese
EASY,Two Sum,57.7,0.5450371761587249,https://leetcode.com/problems/two-sum
HARD,Vertical Order Traversal of a Binary Tree,57.7,0.4973323354042286,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
MEDIUM,Implement Trie (Prefix Tree),57.7,0.6700103949236733,https://leetcode.com/problems/implement-trie-prefix-tree
MEDIUM,Basic Calculator II,55.7,0.4484151682491231,https://leetcode.com/problems/basic-calculator-ii
MEDIUM,Jump Game,53.5,0.38965490615537085,https://leetcode.com/problems/jump-game
MEDIUM,Next Permutation,51.0,0.41829499602961967,https://leetcode.com/problems/next-permutation
HARD,Basic Calculator,48.2,0.44409823650329977,https://leetcode.com/problems/basic-calculator
HARD,Number of Visible People in a Queue,48.2,0.7031370730953485,https://leetcode.com/problems/number-of-visible-people-in-a-queue
HARD,Swim in Rising Water,48.2,0.6194050712529464,https://leetcode.com/problems/swim-in-rising-water
MEDIUM,Number of Islands,44.8,0.6107403600887201,https://leetcode.com/problems/number-of-islands
MEDIUM,Jump Game II,44.8,0.4094542832486501,https://leetcode.com/problems/jump-game-ii
HARD,Largest Rectangle in Histogram,44.8,0.4611576222104536,https://leetcode.com/problems/largest-rectangle-in-histogram
MEDIUM,Design Add and Search Words Data Structure,44.8,0.46375599976169324,https://leetcode.com/problems/design-add-and-search-words-data-structure
HARD,Design In-Memory File System,44.8,0.48056705621183154,https://leetcode.com/problems/design-in-memory-file-system
MEDIUM,Max Area of Island,40.7,0.7268937975232898,https://leetcode.com/problems/max-area-of-island
HARD,Sudoku Solver,40.7,0.6353187693011552,https://leetcode.com/problems/sudoku-solver
MEDIUM,Maximum Gap,40.7,0.4803580202493839,https://leetcode.com/problems/maximum-gap
MEDIUM,Longest Common Subsequence,40.7,0.5785368168703608,https://leetcode.com/problems/longest-common-subsequence
HARD,Word Search II,40.7,0.36838788593974686,https://leetcode.com/problems/word-search-ii
MEDIUM,Shortest Path to Get Food,40.7,0.5542409439827444,https://leetcode.com/problems/shortest-path-to-get-food
MEDIUM,Analyze User Website Visit Pattern,35.4,0.42955439056356487,https://leetcode.com/problems/analyze-user-website-visit-pattern
MEDIUM,Find the Celebrity,35.4,0.48008055887721063,https://leetcode.com/problems/find-the-celebrity
MEDIUM,3Sum,35.4,0.35961026284819186,https://leetcode.com/problems/3sum
MEDIUM,Capacity To Ship Packages Within D Days,35.4,0.709454579291826,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days
MEDIUM,01 Matrix,35.4,0.5008533078900735,https://leetcode.com/problems/01-matrix
MEDIUM,LRU Cache,35.4,0.43931229996871723,https://leetcode.com/problems/lru-cache
MEDIUM,Valid Sudoku,28.0,0.6118238053296737,https://leetcode.com/problems/valid-sudoku
HARD,Employee Free Time,28.0,0.7240852892108691,https://leetcode.com/problems/employee-free-time
MEDIUM,Implement Trie II (Prefix Tree),28.0,0.6302257930461282,https://leetcode.com/problems/implement-trie-ii-prefix-tree
MEDIUM,Number of Closed Islands,28.0,0.6655255578065352,https://leetcode.com/problems/number-of-closed-islands
MEDIUM,Binary Tree Vertical Order Traversal,28.0,0.5608818858549388,https://leetcode.com/problems/binary-tree-vertical-order-traversal
MEDIUM,Path With Maximum Minimum Value,28.0,0.5387314552425404,https://leetcode.com/problems/path-with-maximum-minimum-value
MEDIUM,Group Anagrams,28.0,0.6992932980154067,https://leetcode.com/problems/group-anagrams
EASY,Counting Words With a Given Prefix,28.0,0.7870751431778283,https://leetcode.com/problems/counting-words-with-a-given-prefix
MEDIUM,Task Scheduler II,28.0,0.5335345199236312,https://leetcode.com/problems/task-scheduler-ii
EASY,Move Zeroes,28.0,0.6235858609694851,https://leetcode.com/problems/move-zeroes
HARD,LFU Cache,28.0,0.45428478596377225,https://leetcode.com/problems/lfu-cache
MEDIUM,Top K Frequent Elements,28.0,0.6375223387310589,https://leetcode.com/problems/top-k-frequent-elements
MEDIUM,Design Browser History,28.0,0.777895945515583,https://leetcode.com/problems/design-browser-history
MEDIUM,Merge Intervals,28.0,0.48439387780618604,https://leetcode.com/problems/merge-intervals
HARD,Maximum Path Quality of a Graph,28.0,0.592417638608196,https://leetcode.com/problems/maximum-path-quality-of-a-graph
MEDIUM,Diameter of N-Ary Tree,28.0,0.7464663563267034,https://leetcode.com/problems/diameter-of-n-ary-tree
MEDIUM,Number of Provinces,28.0,0.6763998686636526,https://leetcode.com/problems/number-of-provinces
HARD,Maximum Performance of a Team,28.0,0.4758797706719121,https://leetcode.com/problems/maximum-performance-of-a-team
HARD,Sliding Window Maximum,28.0,0.47070035952422434,https://leetcode.com/problems/sliding-window-maximum
MEDIUM,Meeting Rooms II,28.0,0.5177043949513617,https://leetcode.com/problems/meeting-rooms-ii
MEDIUM,Ways to Make a Fair Array,28.0,0.6386653938815401,https://leetcode.com/problems/ways-to-make-a-fair-array
