Difficulty,Title,Frequency,Acceptance Rate,Link
HARD,Binary Tree Maximum Path Sum,100.0,0.40747173317782787,https://leetcode.com/problems/binary-tree-maximum-path-sum
MEDIUM,Walls and Gates,100.0,0.6233819024291526,https://leetcode.com/problems/walls-and-gates
HARD,Maximum Profit in Job Scheduling,95.7,0.5431849681573361,https://leetcode.com/problems/maximum-profit-in-job-scheduling
MEDIUM,Design File System,85.5,0.6362458696305197,https://leetcode.com/problems/design-file-system
HARD,Longest Increasing Path in a Matrix,84.8,0.5469390364106631,https://leetcode.com/problems/longest-increasing-path-in-a-matrix
MEDIUM,Most Profit Assigning Work,84.1,0.558448854868683,https://leetcode.com/problems/most-profit-assigning-work
MEDIUM,Koko Eating Bananas,81.8,0.48715529513893435,https://leetcode.com/problems/koko-eating-bananas
EASY,Check if One String Swap Can Make Strings Equal,78.2,0.46041773182601453,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal
MEDIUM,Asteroid Collision,75.0,0.4495646834809724,https://leetcode.com/problems/asteroid-collision
MEDIUM,Search Suggestions System,75.0,0.6505752316310943,https://leetcode.com/problems/search-suggestions-system
EASY,Find Nearest Point That Has the Same X or Y Coordinate,73.9,0.6907218825231416,https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,73.9,0.8211528067330708,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram
MEDIUM,Count Sub Islands,73.9,0.7282437548975811,https://leetcode.com/problems/count-sub-islands
MEDIUM,Find K Closest Elements,71.3,0.48192841064758096,https://leetcode.com/problems/find-k-closest-elements
MEDIUM,Next Greater Element III,68.2,0.34353649138079057,https://leetcode.com/problems/next-greater-element-iii
HARD,Making A Large Island,66.6,0.4966909508179222,https://leetcode.com/problems/making-a-large-island
HARD,Shortest Distance from All Buildings,66.6,0.43710291957399927,https://leetcode.com/problems/shortest-distance-from-all-buildings
HARD,Serialize and Deserialize Binary Tree,66.6,0.5809253744206535,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
MEDIUM,Task Scheduler,64.7,0.6080405305564733,https://leetcode.com/problems/task-scheduler
MEDIUM,Basic Calculator II,62.6,0.4496691999355233,https://leetcode.com/problems/basic-calculator-ii
MEDIUM,Single-Threaded CPU,62.6,0.45961074485577735,https://leetcode.com/problems/single-threaded-cpu
MEDIUM,Course Schedule II,60.3,0.5227068848574203,https://leetcode.com/problems/course-schedule-ii
MEDIUM,Count Nodes With the Highest Score,57.7,0.5074183499791258,https://leetcode.com/problems/count-nodes-with-the-highest-score
EASY,Buddy Strings,57.7,0.3339787879560462,https://leetcode.com/problems/buddy-strings
MEDIUM,Jump Game,57.7,0.3900463830959237,https://leetcode.com/problems/jump-game
