Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Walls and Gates,100.0,0.626194584662533,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
HARD,Binary Tree Maximum Path Sum,96.9,0.4095660996374242,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Longest Increasing Path in a Matrix,91.6,0.5496205358151813,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
HARD,Maximum Profit in Job Scheduling,89.7,0.5433786486025639,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Koko Eating Bananas,79.7,0.489033960825752,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Most Profit Assigning Work,78.8,0.55838812906586,https://leetcode.com/problems/most-profit-assigning-work,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,Search Suggestions System,77.4,0.650147735478492,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
EASY,Check if One String Swap Can Make Strings Equal,76.9,0.4945242943232473,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,"Hash Table, String, Counting"
MEDIUM,Design File System,76.9,0.6384438743474283,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,73.5,0.8218031333455871,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Find K Closest Elements,71.5,0.4839130074118919,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
EASY,Buddy Strings,69.3,0.33544252382993667,https://leetcode.com/problems/buddy-strings,"Hash Table, String"
EASY,Find Nearest Point That Has the Same X or Y Coordinate,68.5,0.6920278737091113,https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate,Array
MEDIUM,Single-Threaded CPU,67.7,0.46130050622980223,https://leetcode.com/problems/single-threaded-cpu,"Array, Sorting, Heap (Priority Queue)"
MEDIUM,Next Greater Element III,67.7,0.34420736569030497,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
MEDIUM,Count Sub Islands,65.9,0.728405303683273,https://leetcode.com/problems/count-sub-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Basic Calculator III,65.9,0.5202129967748934,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
MEDIUM,Count Nodes With the Highest Score,63.9,0.5093100007675186,https://leetcode.com/problems/count-nodes-with-the-highest-score,"Array, Tree, Depth-First Search, Binary Tree"
MEDIUM,Asteroid Collision,63.9,0.4515087822790427,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Making A Large Island,62.8,0.5433795107162407,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Shortest Distance from All Buildings,62.8,0.4389231763415825,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
HARD,Serialize and Deserialize Binary Tree,62.8,0.5843140537667392,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
HARD,Count All Valid Pickup and Delivery Options,59.0,0.6487897365231516,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options,"Math, Dynamic Programming, Combinatorics"
HARD,Vertical Order Traversal of a Binary Tree,57.6,0.5050211185551995,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,Basic Calculator II,57.6,0.4533781111926362,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Best Meeting Point,56.0,0.6120504770036507,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
MEDIUM,Interval List Intersections,56.0,0.7248931427436383,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Line Sweep"
EASY,Two Sum,56.0,0.5518537436931551,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Implement Trie (Prefix Tree),56.0,0.6754072842033436,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
EASY,Immediate Food Delivery I,56.0,0.8085616172590409,https://leetcode.com/problems/immediate-food-delivery-i,Database
MEDIUM,Immediate Food Delivery II,56.0,0.5382213532186699,https://leetcode.com/problems/immediate-food-delivery-ii,Database
MEDIUM,Course Schedule II,54.3,0.5273974349270698,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Mice and Cheese,54.3,0.46890851584412485,https://leetcode.com/problems/mice-and-cheese,"Array, Greedy, Sorting, Heap (Priority Queue)"
HARD,Subsequence With the Minimum Score,54.3,0.3242521961525631,https://leetcode.com/problems/subsequence-with-the-minimum-score,"Two Pointers, String, Binary Search"
MEDIUM,Task Scheduler,54.3,0.6109253998333425,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Jump Game,50.3,0.3915380360774264,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
HARD,Largest Rectangle in Histogram,47.9,0.46695318098673444,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
HARD,Basic Calculator,47.9,0.4498986106490503,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Next Permutation,47.9,0.4242945838853768,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Word Search II,45.1,0.37052912219154266,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Max Area of Island,45.1,0.7295488290777541,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Design In-Memory File System,45.1,0.48074949083503055,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
HARD,Swim in Rising Water,45.1,0.6227701789252494,https://leetcode.com/problems/swim-in-rising-water,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
MEDIUM,Minimum Size Subarray Sum,45.1,0.488374482935315,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,01 Matrix,45.1,0.507850555926963,https://leetcode.com/problems/01-matrix,"Array, Dynamic Programming, Breadth-First Search, Matrix"
HARD,Number of Visible People in a Queue,45.1,0.706022767258514,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
MEDIUM,Design Add and Search Words Data Structure,41.9,0.4676813750538539,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
MEDIUM,Number of Islands,41.9,0.6170170831417677,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Jump Game II,41.9,0.4118345837889056,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Longest Common Subsequence,41.9,0.5802384142390101,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
HARD,Sudoku Solver,37.9,0.6367773759887032,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
MEDIUM,Maximum Gap,37.9,0.4869376928690768,https://leetcode.com/problems/maximum-gap,"Array, Sorting, Bucket Sort, Radix Sort"
HARD,Minimize Malware Spread,37.9,0.4220744153615838,https://leetcode.com/problems/minimize-malware-spread,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Shortest Path to Get Food,37.9,0.5645568508639048,https://leetcode.com/problems/shortest-path-to-get-food,"Array, Breadth-First Search, Matrix"
MEDIUM,Ways to Make a Fair Array,32.8,0.6426610900535877,https://leetcode.com/problems/ways-to-make-a-fair-array,"Array, Prefix Sum"
HARD,Sliding Window Median,32.8,0.3865035720477814,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
MEDIUM,Binary Tree Vertical Order Traversal,32.8,0.5668076600725638,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,4Sum,32.8,0.37682275678592025,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Analyze User Website Visit Pattern,32.8,0.4329577667894943,https://leetcode.com/problems/analyze-user-website-visit-pattern,"Array, Hash Table, Sorting"
MEDIUM,Number of Provinces,32.8,0.680829133265371,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Capacity To Ship Packages Within D Days,32.8,0.7149719304537807,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
HARD,Maximum Path Quality of a Graph,32.8,0.5943799490785079,https://leetcode.com/problems/maximum-path-quality-of-a-graph,"Array, Backtracking, Graph"
HARD,Sliding Window Maximum,32.8,0.4729974074620529,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Find the Celebrity,32.8,0.4823722111113997,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph, Interactive"
MEDIUM,Diameter of N-Ary Tree,25.8,0.7486765989958525,https://leetcode.com/problems/diameter-of-n-ary-tree,"Tree, Depth-First Search"
