Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Parentheses,100.0,0.4232284180792206,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Find the City With the Smallest Number of Neighbors at a Threshold Distance,93.2,0.7022963279294668,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,"Dynamic Programming, Graph, Shortest Path"
EASY,Best Time to Buy and Sell Stock,93.2,0.5525960316193482,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Capacity To Ship Packages Within D Days,93.2,0.721177358490566,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Minimum Number of Swaps to Make the String Balanced,93.2,0.7796926022806927,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,"Two Pointers, String, Stack, Greedy"
EASY,Roman to Integer,84.3,0.6486630835177992,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Longest Substring Without Repeating Characters,84.3,0.3693615936497769,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Find the Smallest Divisor Given a Threshold,84.3,0.6364604732557255,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
HARD,Trapping Rain Water,84.3,0.6510201836943224,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Minimum Swaps to Group All 1's Together,84.3,0.6108541758288527,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,"Array, Sliding Window"
MEDIUM,Number of Islands,84.3,0.6232001329897883,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Set Matrix Zeroes,84.3,0.6070890553968923,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Group Anagrams,84.3,0.7092884996578606,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Jump Game II,84.3,0.41503354555464916,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Merge Intervals,72.0,0.4939524714631436,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Minimum Replacements to Sort the Array,72.0,0.5324087646108167,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
HARD,Number of Visible People in a Queue,72.0,0.7129705142972448,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
MEDIUM,LRU Cache,72.0,0.45214715527990323,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Keys and Rooms,72.0,0.7467687157157744,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Unique Substrings With Equal Digit Frequency,72.0,0.6411486580447782,https://leetcode.com/problems/unique-substrings-with-equal-digit-frequency,"Hash Table, String, Rolling Hash, Counting, Hash Function"
MEDIUM,The Earliest Moment When Everyone Become Friends,72.0,0.656983282716056,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,"Array, Union Find, Sorting"
MEDIUM,Remove Duplicate Letters,72.0,0.5135095841552992,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,String Compression,72.0,0.580915717497265,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Rearrange Words in a Sentence,72.0,0.6583426651735722,https://leetcode.com/problems/rearrange-words-in-a-sentence,"String, Sorting"
MEDIUM,Divide Players Into Teams of Equal Skill,72.0,0.6892726777444839,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,"Array, Hash Table, Two Pointers, Sorting"
EASY,Two Sum,72.0,0.5577699866729764,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Add Two Numbers,72.0,0.4622511186296071,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Most Visited Sector in  a Circular Track,72.0,0.5910626136658872,https://leetcode.com/problems/most-visited-sector-in-a-circular-track,"Array, Simulation"
MEDIUM,The kth Factor of n,72.0,0.6957668800559188,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory"
MEDIUM,Number of Good Binary Strings,72.0,0.5249371022643184,https://leetcode.com/problems/number-of-good-binary-strings,Dynamic Programming
MEDIUM,Break a Palindrome,72.0,0.515441720680916,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
EASY,Valid Word,72.0,0.3871845347371215,https://leetcode.com/problems/valid-word,String
MEDIUM,Valid Triangle Number,72.0,0.5234449388412803,https://leetcode.com/problems/valid-triangle-number,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,House Robber,72.0,0.5230497238120853,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Subarray Sums Divisible by K,72.0,0.5561771980621089,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Least Number of Unique Integers after K Removals,72.0,0.6341766250570863,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,"Array, Hash Table, Greedy, Sorting, Counting"
EASY,Count Number of Pairs With Absolute Difference K,72.0,0.8488583382642377,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k,"Array, Hash Table, Counting"
EASY,Reverse Linked List,72.0,0.7920658766722495,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Max Consecutive Ones III,72.0,0.659394298879811,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Permutation in String,72.0,0.4724782167062026,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
MEDIUM,Rotting Oranges,72.0,0.5661847679426031,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Minimum One Bit Operations to Make Integers Zero,72.0,0.73240710674027,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,"Dynamic Programming, Bit Manipulation, Memoization"
