Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Find the Smallest Divisor Given a Threshold,100.0,0.6337868270098109,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
MEDIUM,Valid Triangle Number,97.7,0.5226384072288158,https://leetcode.com/problems/valid-triangle-number,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,The kth Factor of n,97.7,0.6954709362260939,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory"
MEDIUM,Minimum Swaps to Group All 1's Together,97.7,0.6108335169482491,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,"Array, Sliding Window"
MEDIUM,Divide Players Into Teams of Equal Skill,95.2,0.6893967286500122,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,"Array, Hash Table, Two Pointers, Sorting"
MEDIUM,Break a Palindrome,95.2,0.5152784345515549,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
HARD,Minimum One Bit Operations to Make Integers Zero,95.2,0.732652301391539,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,"Dynamic Programming, Bit Manipulation, Memoization"
EASY,Most Visited Sector in  a Circular Track,95.2,0.5906714655635719,https://leetcode.com/problems/most-visited-sector-in-a-circular-track,"Array, Simulation"
MEDIUM,Number of Good Binary Strings,95.2,0.5247355088660408,https://leetcode.com/problems/number-of-good-binary-strings,Dynamic Programming
MEDIUM,Rearrange Words in a Sentence,95.2,0.657536094993928,https://leetcode.com/problems/rearrange-words-in-a-sentence,"String, Sorting"
MEDIUM,String Compression,95.2,0.5795983666586495,https://leetcode.com/problems/string-compression,"Two Pointers, String"
HARD,Minimum Replacements to Sort the Array,95.2,0.5326009093719603,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
MEDIUM,Unique Substrings With Equal Digit Frequency,95.2,0.6407753451401477,https://leetcode.com/problems/unique-substrings-with-equal-digit-frequency,"Hash Table, String, Rolling Hash, Counting, Hash Function"
EASY,Valid Word,95.2,0.3863793167402352,https://leetcode.com/problems/valid-word,String
MEDIUM,The Earliest Moment When Everyone Become Friends,95.2,0.6568560048016587,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,"Array, Union Find, Sorting"
EASY,Valid Parentheses,85.9,0.4224535099464662,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Remove Duplicate Letters,81.9,0.5125844372548704,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,Capacity To Ship Packages Within D Days,71.3,0.7194552744259467,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
