Difficulty,Title,Frequency,Acceptance Rate,Link
HARD,Trapping Rain Water,100.0,0.6391078018500639,https://leetcode.com/problems/trapping-rain-water
MEDIUM,Minimum Number of Coins to be Added,100.0,0.5695598328087105,https://leetcode.com/problems/minimum-number-of-coins-to-be-added
HARD,Cherry Pickup II,100.0,0.7184854304405451,https://leetcode.com/problems/cherry-pickup-ii
MEDIUM,Maximum Points You Can Obtain from Cards,100.0,0.5460083370276934,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards
HARD,Triples with Bitwise AND Equal To Zero,86.4,0.5902249184456018,https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero
HARD,Maximum Performance of a Team,86.4,0.4756800412899279,https://leetcode.com/problems/maximum-performance-of-a-team
MEDIUM,Koko Eating Bananas,86.4,0.4871568528896819,https://leetcode.com/problems/koko-eating-bananas
MEDIUM,Partition Equal Subset Sum,86.4,0.4706599179466365,https://leetcode.com/problems/partition-equal-subset-sum
MEDIUM,Rotting Oranges,86.4,0.5565957968574778,https://leetcode.com/problems/rotting-oranges
HARD,Create Maximum Number,86.4,0.31494498421123823,https://leetcode.com/problems/create-maximum-number
MEDIUM,Path Sum II,86.4,0.597985560632085,https://leetcode.com/problems/path-sum-ii
MEDIUM,Search in Rotated Sorted Array,86.4,0.4207853101330688,https://leetcode.com/problems/search-in-rotated-sorted-array
MEDIUM,Product of Array Except Self,86.4,0.672016918269013,https://leetcode.com/problems/product-of-array-except-self
HARD,Candy,86.4,0.44168128004667523,https://leetcode.com/problems/candy
HARD,Dungeon Game,86.4,0.38889275424653463,https://leetcode.com/problems/dungeon-game
MEDIUM,Filling Bookcase Shelves,86.4,0.6873185580473323,https://leetcode.com/problems/filling-bookcase-shelves
MEDIUM,Minimum Limit of Balls in a Bag,86.4,0.6791986758631794,https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag
MEDIUM,Minimum Cost to Reach City With Discounts,86.4,0.5981104651162791,https://leetcode.com/problems/minimum-cost-to-reach-city-with-discounts
MEDIUM,Numbers With Same Consecutive Differences,86.4,0.5845886778694773,https://leetcode.com/problems/numbers-with-same-consecutive-differences
HARD,Design Movie Rental System,86.4,0.36768037013831995,https://leetcode.com/problems/design-movie-rental-system
HARD,The Score of Students Solving Math Expression,86.4,0.3340248962655601,https://leetcode.com/problems/the-score-of-students-solving-math-expression
MEDIUM,Find Minimum in Rotated Sorted Array,86.4,0.5190309651635733,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
