Difficulty,Title,Frequency,Acceptance Rate,Link
HARD,Trapping Rain Water,100.0,0.6378144954056015,https://leetcode.com/problems/trapping-rain-water
EASY,High Five,85.5,0.7444723398240572,https://leetcode.com/problems/high-five
EASY,First Unique Character in a String,78.8,0.6296193862459657,https://leetcode.com/problems/first-unique-character-in-a-string
MEDIUM,Fraction to Recurring Decimal,76.0,0.25684346113847406,https://leetcode.com/problems/fraction-to-recurring-decimal
MEDIUM,Decode Ways,64.3,0.35864181673321727,https://leetcode.com/problems/decode-ways
MEDIUM,Robot Bounded In Circle,64.3,0.5604165403708719,https://leetcode.com/problems/robot-bounded-in-circle
EASY,Design HashMap,64.3,0.6561979461638405,https://leetcode.com/problems/design-hashmap
MEDIUM,Find the Winner of the Circular Game,58.3,0.8193028500586892,https://leetcode.com/problems/find-the-winner-of-the-circular-game
EASY,Backspace String Compare,58.3,0.4934371085884282,https://leetcode.com/problems/backspace-string-compare
MEDIUM,Palindromic Substrings,58.3,0.7102990810770861,https://leetcode.com/problems/palindromic-substrings
MEDIUM,Group Anagrams,58.3,0.6997623065189625,https://leetcode.com/problems/group-anagrams
MEDIUM,String to Integer (atoi),58.3,0.18419985372835834,https://leetcode.com/problems/string-to-integer-atoi
HARD,Median of Two Sorted Arrays,58.3,0.42369869027978296,https://leetcode.com/problems/median-of-two-sorted-arrays
MEDIUM,Longest Substring Without Repeating Characters,58.3,0.35974138514426585,https://leetcode.com/problems/longest-substring-without-repeating-characters
MEDIUM,Open the Lock,58.3,0.6051160318866253,https://leetcode.com/problems/open-the-lock
EASY,Two Sum,58.3,0.5456827401061671,https://leetcode.com/problems/two-sum
MEDIUM,Kth Largest Element in an Array,58.3,0.6738410481008086,https://leetcode.com/problems/kth-largest-element-in-an-array
EASY,Minimum Value to Get Positive Step by Step Sum,58.3,0.6500190650793223,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum
HARD,Sliding Window Maximum,49.9,0.47090576442150506,https://leetcode.com/problems/sliding-window-maximum
MEDIUM,Maximum Sum Circular Subarray,49.9,0.46420360451079473,https://leetcode.com/problems/maximum-sum-circular-subarray
MEDIUM,Maximum Subarray,49.9,0.5151959364662207,https://leetcode.com/problems/maximum-subarray
MEDIUM,Longest Palindromic Substring,49.9,0.3498424342062239,https://leetcode.com/problems/longest-palindromic-substring
MEDIUM,Merge Intervals,49.9,0.4847548814927024,https://leetcode.com/problems/merge-intervals
MEDIUM,Construct Smallest Number From DI String,49.9,0.7629823919320077,https://leetcode.com/problems/construct-smallest-number-from-di-string
