Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Trapping Rain Water,100.0,0.6495012248193184,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,High Five,79.7,0.7435653732561921,https://leetcode.com/problems/high-five,"Array, Hash Table, Sorting, Heap (Priority Queue)"
HARD,Median of Two Sorted Arrays,78.9,0.4365001877774995,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,First Unique Character in a String,78.9,0.6360298626002701,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Fraction to Recurring Decimal,74.3,0.26172026941265586,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
MEDIUM,Minimum Path Sum,68.3,0.6636086623109181,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Find the Minimum Amount of Time to Brew Potions,65.1,0.34836871069182396,https://leetcode.com/problems/find-the-minimum-amount-of-time-to-brew-potions,"Array, Simulation, Prefix Sum"
MEDIUM,Permutations III,63.4,0.8578475336322868,https://leetcode.com/problems/permutations-iii,"Array, Backtracking"
MEDIUM,Find the Winner of the Circular Game,61.4,0.8205213233783814,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
MEDIUM,String Compression,61.4,0.5795962019962896,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Number of Islands,59.2,0.6219957869807959,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Longest Substring Without Repeating Characters,59.2,0.368218170777618,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Search in Rotated Sorted Array,56.7,0.4273983430847881,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,LRU Cache,56.7,0.4507741446467329,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Group Anagrams,53.8,0.7083638577474423,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Kth Largest Element in an Array,53.8,0.6790762692024515,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Two Sum,53.8,0.5568014209375435,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Robot Bounded In Circle,53.8,0.5621098416924875,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
HARD,Optimal Account Balancing,50.4,0.49873988086146326,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
EASY,Check if the Sentence Is Pangram,50.4,0.8381065544692684,https://leetcode.com/problems/check-if-the-sentence-is-pangram,"Hash Table, String"
EASY,Design HashMap,50.4,0.6587344176891665,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
EASY,Consecutive Characters,50.4,0.6016789493260918,https://leetcode.com/problems/consecutive-characters,String
MEDIUM,Construct Smallest Number From DI String,50.4,0.8583455043733692,https://leetcode.com/problems/construct-smallest-number-from-di-string,"String, Backtracking, Stack, Greedy"
MEDIUM,Find Minimum in Rotated Sorted Array,50.4,0.525528279307659,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Decode Ways,50.4,0.36454648767401054,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Product of Array Except Self,46.3,0.6771205520611542,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Merge Intervals,46.3,0.49292468176717036,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Identify the Largest Outlier in an Array,46.3,0.35545304177605125,https://leetcode.com/problems/identify-the-largest-outlier-in-an-array,"Array, Hash Table, Counting, Enumeration"
MEDIUM,Top K Frequent Elements,46.3,0.6447823573549796,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Search a 2D Matrix,40.9,0.5218683883132896,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
