Difficulty,Title,Frequency,Acceptance Rate,Link
MEDIUM,Merge Intervals,100.0,0.48439399237533154,https://leetcode.com/problems/merge-intervals
EASY,Remove All Adjacent Duplicates In String,94.6,0.7065149374568584,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string
MEDIUM,Remove All Adjacent Duplicates in String II,87.4,0.5880057923115006,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii
MEDIUM,Insert Delete GetRandom O(1),85.2,0.5479297576359211,https://leetcode.com/problems/insert-delete-getrandom-o1
MEDIUM,Vowel Spellchecker,76.5,0.514093000925091,https://leetcode.com/problems/vowel-spellchecker
MEDIUM,Repeated DNA Sequences,72.7,0.5025468154026029,https://leetcode.com/problems/repeated-dna-sequences
HARD,Word Break II,72.7,0.524554630268935,https://leetcode.com/problems/word-break-ii
EASY,Backspace String Compare,72.7,0.49340692937223884,https://leetcode.com/problems/backspace-string-compare
MEDIUM,Search in Rotated Sorted Array,67.9,0.4198439040610885,https://leetcode.com/problems/search-in-rotated-sorted-array
EASY,Perfect Number,67.9,0.4329291918686616,https://leetcode.com/problems/perfect-number
MEDIUM,Word Break,67.9,0.4761085451939319,https://leetcode.com/problems/word-break
EASY,Climbing Stairs,67.9,0.532679117949512,https://leetcode.com/problems/climbing-stairs
MEDIUM,Generate Parentheses,67.9,0.7608330553311873,https://leetcode.com/problems/generate-parentheses
MEDIUM,Word Search,61.8,0.4418595657033178,https://leetcode.com/problems/word-search
MEDIUM,Number of Islands,61.8,0.6107411193691994,https://leetcode.com/problems/number-of-islands
EASY,Sum of Left Leaves,61.8,0.6121673003802282,https://leetcode.com/problems/sum-of-left-leaves
EASY,Sleep,53.1,0.8742603168040517,https://leetcode.com/problems/sleep
EASY,Logger Rate Limiter,53.1,0.7624629224195769,https://leetcode.com/problems/logger-rate-limiter
HARD,Special Binary String,53.1,0.6270371602213286,https://leetcode.com/problems/special-binary-string
MEDIUM,Decode the Slanted Ciphertext,53.1,0.4915994731600758,https://leetcode.com/problems/decode-the-slanted-ciphertext
MEDIUM,Evaluate Reverse Polish Notation,53.1,0.5346998359853331,https://leetcode.com/problems/evaluate-reverse-polish-notation
MEDIUM,Implement Trie (Prefix Tree),53.1,0.6700109455193448,https://leetcode.com/problems/implement-trie-prefix-tree
EASY,Set Mismatch,53.1,0.44685188462855036,https://leetcode.com/problems/set-mismatch
MEDIUM,Maximum Palindromes After Operations,53.1,0.4266732283464567,https://leetcode.com/problems/maximum-palindromes-after-operations
