Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Find Candidates for Data Scientist Position,100.0,0.7625735433668628,https://leetcode.com/problems/find-candidates-for-data-scientist-position,Database
HARD,Maximize Items,100.0,0.7506507027589797,https://leetcode.com/problems/maximize-items,Database
MEDIUM,Maximum Points Inside the Square,100.0,0.380620032425165,https://leetcode.com/problems/maximum-points-inside-the-square,"Array, Hash Table, String, Binary Search, Sorting"
HARD,Count the Number of Powerful Integers,83.1,0.4654421192844428,https://leetcode.com/problems/count-the-number-of-powerful-integers,"Math, String, Dynamic Programming"
MEDIUM,Minimize Length of Array Using Operations,83.1,0.34712867777383904,https://leetcode.com/problems/minimize-length-of-array-using-operations,"Array, Math, Greedy, Number Theory"
EASY,Best Time to Buy and Sell Stock,70.6,0.550662893217916,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Trapping Rain Water,70.6,0.64813211352143,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Maximum Subarray,70.6,0.519735774077475,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,3Sum,60.7,0.36840853785256356,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Number of Islands,60.7,0.6206997281000329,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Group Anagrams,60.7,0.7072453287209011,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Isomorphic Strings,60.7,0.46684369759171757,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Edit Distance,60.7,0.5857277432733554,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Maximum Product Subarray,60.7,0.34781267932415294,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Minimum Time to Repair Cars,60.7,0.5995667718191378,https://leetcode.com/problems/minimum-time-to-repair-cars,"Array, Binary Search"
HARD,Chalkboard XOR Game,60.7,0.6258809544026492,https://leetcode.com/problems/chalkboard-xor-game,"Array, Math, Bit Manipulation, Brainteaser, Game Theory"
MEDIUM,Beautiful Arrangement,60.7,0.644918742085268,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Jump Game,60.7,0.3932927451830779,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Jump Game II,60.7,0.4135663300941575,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Next Permutation,60.7,0.4279350615822979,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Minimum Cost to Make Array Equal,60.7,0.4623254670917757,https://leetcode.com/problems/minimum-cost-to-make-array-equal,"Array, Binary Search, Greedy, Sorting, Prefix Sum"
MEDIUM,Container With Most Water,60.7,0.5757793474504365,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
