Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Eat Pizzas!,100.0,0.32254243979470976,https://leetcode.com/problems/eat-pizzas,"Array, Greedy, Sorting"
HARD,Maximize the Minimum Game Score,100.0,0.24491315136476427,https://leetcode.com/problems/maximize-the-minimum-game-score,"Array, Binary Search, Greedy"
EASY,Transform Array by Parity,100.0,0.8929591665266342,https://leetcode.com/problems/transform-array-by-parity,"Array, Sorting, Counting"
EASY,Two Sum,87.7,0.5554650061521318,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,78.0,0.36716067863377594,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,71.1,0.5506576277337806,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Remove Duplicates from Sorted Array,61.4,0.6004889682553715,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Set Matrix Zeroes,61.4,0.5949792776352919,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
EASY,Merge Sorted Array,61.4,0.5267881453530996,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Generate Parentheses,61.4,0.7691556984336727,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Binary Search,61.4,0.5939931087180141,https://leetcode.com/problems/binary-search,"Array, Binary Search"
HARD,Find Building Where Alice and Bob Can Meet,61.4,0.5235381902048569,https://leetcode.com/problems/find-building-where-alice-and-bob-can-meet,"Array, Binary Search, Stack, Binary Indexed Tree, Segment Tree, Heap (Priority Queue), Monotonic Stack"
EASY,Implement Queue using Stacks,61.4,0.6787452580345,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
MEDIUM,Second Highest Salary,61.4,0.4352405066025845,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Merge Intervals,61.4,0.4919338879021694,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Rotate Image,61.4,0.7762108198883805,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Move Zeroes,61.4,0.6272149125430234,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
