Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Time Based Key-Value Store,100.0,0.493329977135905,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
EASY,Check if Every Row and Column Contains All Numbers,70.7,0.5277289741043465,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers,"Array, Hash Table, Matrix"
HARD,Wildcard Matching,70.7,0.29786125261449475,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Minimum Number of Arrows to Burst Balloons,62.1,0.6033477397140525,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,"Array, Greedy, Sorting"
MEDIUM,Maximum Number of Events That Can Be Attended,62.1,0.32896254757894866,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,LRU Cache,62.1,0.45077590886284297,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Search Insert Position,62.1,0.4888500729519584,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,Valid Sudoku,62.1,0.6216841260124346,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,Valid Number,62.1,0.21492610499082276,https://leetcode.com/problems/valid-number,String
MEDIUM,Non-overlapping Intervals,62.1,0.5539687733897432,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
MEDIUM,Best Time to Buy and Sell Stock with Cooldown,62.1,0.6023381503516841,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,"Array, Dynamic Programming"
MEDIUM,Merge Intervals,62.1,0.49292675915278755,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Best Time to Buy and Sell Stock,62.1,0.5515736740811509,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Best Time to Buy and Sell Stock II,62.1,0.6938100578980873,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
HARD,Word Search II,62.1,0.37263400996832985,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
EASY,Squares of a Sorted Array,62.1,0.7319605042210866,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Find First and Last Position of Element in Sorted Array,62.1,0.4669676635854152,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
