Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Find Consecutive Integers from a Data Stream,100.0,0.5045358580193969,https://leetcode.com/problems/find-consecutive-integers-from-a-data-stream,"Hash Table, Design, Queue, Counting, Data Stream"
EASY,Maximum Nesting Depth of the Parentheses,100.0,0.8418781201134532,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses,"String, Stack"
HARD,Trapping Rain Water,100.0,0.6439789519258469,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Copy List with Random Pointer,94.4,0.5965904885969253,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Number of Islands,94.4,0.6170180371204125,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Valid Parentheses,91.0,0.4191704882037235,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Two Sum,82.5,0.5518546554630408,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,76.9,0.3641863365407719,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Best Time to Buy and Sell Stock II,69.7,0.6895510935634506,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Best Time to Buy and Sell Stock,69.7,0.5482910502485977,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Count Primes,69.7,0.3448563690810444,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory"
MEDIUM,Reverse Words in a String,59.5,0.5037825399108299,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Reverse Integer,59.5,0.29923568069115614,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Add Two Numbers,59.5,0.4555586915921525,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Climbing Stairs,59.5,0.5337007514179831,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Merge Two Sorted Lists,59.5,0.6636956124313241,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,LRU Cache,59.5,0.44550546512006944,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Palindrome Number,59.5,0.5874949100590603,https://leetcode.com/problems/palindrome-number,Math
EASY,Remove Duplicates from Sorted Array,59.5,0.5959894952890968,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Container With Most Water,59.5,0.572680853448837,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Merge Sorted Array,59.5,0.5235340439470314,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Rotate Image,59.5,0.7727240573878917,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
