Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Minimum Number of Taps to Open to Water a Garden,100.0,0.5069904157014941,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Product of Array Except Self,86.4,0.6731221838471204,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Course Schedule II,83.9,0.5247571889886794,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Sudoku Solver,78.1,0.6364567436738017,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
MEDIUM,LRU Cache,78.1,0.44265230946432593,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Rotting Oranges,74.5,0.5584678795463683,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Longest Substring Without Repeating Characters,70.3,0.3620166645788303,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Trapping Rain Water,70.3,0.6412322739011984,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,3Sum,65.1,0.3627882263968317,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Most Profitable Path in a Tree,65.1,0.49765092032436603,https://leetcode.com/problems/most-profitable-path-in-a-tree,"Array, Tree, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Longest Increasing Subsequence,65.1,0.570615175180347,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
EASY,Two Sum,65.1,0.5490432462490793,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,58.5,0.41739415102575295,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Heaters,58.5,0.3927025912393919,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
EASY,Maximum Product of Three Numbers,58.5,0.45239477248342214,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
MEDIUM,House Robber,58.5,0.519220291785217,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Min Stack,58.5,0.55780539677009,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Spiral Matrix,58.5,0.5271678092625995,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Logger Rate Limiter,58.5,0.7632108059071362,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Insert Delete GetRandom O(1),58.5,0.5486432724093748,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Best Time to Buy and Sell Stock,58.5,0.5468403306574849,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Generate Parentheses,58.5,0.7639651616322315,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
HARD,Median of Two Sorted Arrays,49.2,0.42747241214312015,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Design Circular Queue,49.2,0.5228732490850556,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
HARD,Basic Calculator IV,49.2,0.548332629801604,https://leetcode.com/problems/basic-calculator-iv,"Hash Table, Math, String, Stack, Recursion"
