Difficulty,Title,Frequency,Acceptance Rate,Link
HARD,Minimum Number of Taps to Open to Water a Garden,100.0,0.506953719871114,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden
MEDIUM,Course Schedule II,92.0,0.5227078698820142,https://leetcode.com/problems/course-schedule-ii
EASY,Maximum Product of Three Numbers,90.0,0.45206605359249613,https://leetcode.com/problems/maximum-product-of-three-numbers
EASY,Valid Parentheses,90.0,0.4160102087271318,https://leetcode.com/problems/valid-parentheses
MEDIUM,Most Profitable Path in a Tree,90.0,0.49666132478632474,https://leetcode.com/problems/most-profitable-path-in-a-tree
MEDIUM,LRU Cache,85.6,0.4406270976773964,https://leetcode.com/problems/lru-cache
MEDIUM,Max Area of Island,85.6,0.7275355192423347,https://leetcode.com/problems/max-area-of-island
HARD,Basic Calculator IV,85.6,0.5492803875932171,https://leetcode.com/problems/basic-calculator-iv
MEDIUM,Destroy Sequential Targets,85.6,0.4005763099811984,https://leetcode.com/problems/destroy-sequential-targets
MEDIUM,Number of Substrings With Fixed Ratio,85.6,0.5602745602745602,https://leetcode.com/problems/number-of-substrings-with-fixed-ratio
MEDIUM,Length of the Longest Subsequence That Sums to Target,85.6,0.3642392588270454,https://leetcode.com/problems/length-of-the-longest-subsequence-that-sums-to-target
MEDIUM,Number of Distinct Substrings in a String,85.6,0.6445855860584746,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string
MEDIUM,Product of Array Except Self,85.6,0.6720153788454799,https://leetcode.com/problems/product-of-array-except-self
HARD,Maximum Total Beauty of the Gardens,85.6,0.29825342084770273,https://leetcode.com/problems/maximum-total-beauty-of-the-gardens
MEDIUM,Maximum Difference Score in a Grid,85.6,0.46967389465032516,https://leetcode.com/problems/maximum-difference-score-in-a-grid
HARD,Make String Anti-palindrome,85.6,0.48786610878661085,https://leetcode.com/problems/make-string-anti-palindrome
MEDIUM,Rotting Oranges,80.1,0.5565938737015489,https://leetcode.com/problems/rotting-oranges
HARD,Sudoku Solver,80.1,0.635481510259028,https://leetcode.com/problems/sudoku-solver
EASY,Two Sum,73.0,0.5468046291260185,https://leetcode.com/problems/two-sum
MEDIUM,Word Break,73.0,0.4769040767743635,https://leetcode.com/problems/word-break
MEDIUM,Spiral Matrix,68.6,0.5243056320212475,https://leetcode.com/problems/spiral-matrix
MEDIUM,Group Anagrams,68.6,0.7004731600731481,https://leetcode.com/problems/group-anagrams
HARD,Trapping Rain Water,68.6,0.6391072878047876,https://leetcode.com/problems/trapping-rain-water
EASY,Logger Rate Limiter,68.6,0.7628052945168325,https://leetcode.com/problems/logger-rate-limiter
MEDIUM,Longest Substring Without Repeating Characters,68.6,0.3604563318565052,https://leetcode.com/problems/longest-substring-without-repeating-characters
MEDIUM,Min Stack,63.1,0.5561979423490915,https://leetcode.com/problems/min-stack
MEDIUM,Longest Increasing Subsequence,63.1,0.569300696723033,https://leetcode.com/problems/longest-increasing-subsequence
MEDIUM,3Sum,63.1,0.3609277849288473,https://leetcode.com/problems/3sum
MEDIUM,Heaters,63.1,0.39086069600668727,https://leetcode.com/problems/heaters
MEDIUM,Top K Frequent Elements,63.1,0.6385666533626023,https://leetcode.com/problems/top-k-frequent-elements
EASY,Middle of the Linked List,56.1,0.7988359589263115,https://leetcode.com/problems/middle-of-the-linked-list
EASY,Unique Email Addresses,56.1,0.6742343754835116,https://leetcode.com/problems/unique-email-addresses
MEDIUM,Design Circular Queue,56.1,0.5218939534178647,https://leetcode.com/problems/design-circular-queue
MEDIUM,132 Pattern,56.1,0.33796097776702716,https://leetcode.com/problems/132-pattern
MEDIUM,Minimum Cost For Tickets,56.1,0.6741650330177681,https://leetcode.com/problems/minimum-cost-for-tickets
MEDIUM,Coin Change,56.1,0.45516428354122307,https://leetcode.com/problems/coin-change
MEDIUM,Insert Delete GetRandom O(1),56.1,0.5482820209541365,https://leetcode.com/problems/insert-delete-getrandom-o1
MEDIUM,House Robber,56.1,0.5185577280155941,https://leetcode.com/problems/house-robber
EASY,Best Time to Buy and Sell Stock,56.1,0.5457833524100457,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
MEDIUM,Generate Parentheses,56.1,0.7621026586512766,https://leetcode.com/problems/generate-parentheses
MEDIUM,Number of Longest Increasing Subsequence,46.3,0.49192253559299226,https://leetcode.com/problems/number-of-longest-increasing-subsequence
HARD,Russian Doll Envelopes,46.3,0.3713910781486996,https://leetcode.com/problems/russian-doll-envelopes
MEDIUM,Shortest Path in Binary Matrix,46.3,0.4886600033769993,https://leetcode.com/problems/shortest-path-in-binary-matrix
HARD,Longest Valid Parentheses,46.3,0.35358768171301075,https://leetcode.com/problems/longest-valid-parentheses
MEDIUM,Unique Paths,46.3,0.6522724479064707,https://leetcode.com/problems/unique-paths
MEDIUM,Decode Ways,46.3,0.35913749276224055,https://leetcode.com/problems/decode-ways
MEDIUM,Pacific Atlantic Water Flow,46.3,0.5664399060303374,https://leetcode.com/problems/pacific-atlantic-water-flow
MEDIUM,Decode String,46.3,0.6045202580611913,https://leetcode.com/problems/decode-string
HARD,Get the Maximum Score,46.3,0.3975404393210975,https://leetcode.com/problems/get-the-maximum-score
MEDIUM,Zigzag Conversion,46.3,0.5032816399656508,https://leetcode.com/problems/zigzag-conversion
HARD,Maximal Rectangle,46.3,0.5252877301200981,https://leetcode.com/problems/maximal-rectangle
MEDIUM,Daily Temperatures,46.3,0.6677633322394869,https://leetcode.com/problems/daily-temperatures
MEDIUM,Reorganize String,46.3,0.5556521539356316,https://leetcode.com/problems/reorganize-string
MEDIUM,Kth Largest Element in an Array,46.3,0.674275140775751,https://leetcode.com/problems/kth-largest-element-in-an-array
MEDIUM,Course Schedule,46.3,0.4816002903670229,https://leetcode.com/problems/course-schedule
EASY,Climbing Stairs,46.3,0.5329291326347143,https://leetcode.com/problems/climbing-stairs
MEDIUM,Number of Operations to Make Network Connected,46.3,0.6387727984678538,https://leetcode.com/problems/number-of-operations-to-make-network-connected
HARD,Serialize and Deserialize Binary Tree,46.3,0.5809250267379039,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
HARD,Median of Two Sorted Arrays,46.3,0.42479948320243394,https://leetcode.com/problems/median-of-two-sorted-arrays
MEDIUM,Find All Anagrams in a String,46.3,0.5167444790615465,https://leetcode.com/problems/find-all-anagrams-in-a-string
EASY,Merge Two Sorted Lists,46.3,0.6598110749662935,https://leetcode.com/problems/merge-two-sorted-lists
MEDIUM,Find First and Last Position of Element in Sorted Array,46.3,0.45834940827843945,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
EASY,Merge Sorted Array,46.3,0.519007407650906,https://leetcode.com/problems/merge-sorted-array
MEDIUM,Largest Plus Sign,46.3,0.48517773514861096,https://leetcode.com/problems/largest-plus-sign
MEDIUM,Partition to K Equal Sum Subsets,46.3,0.38096156292999533,https://leetcode.com/problems/partition-to-k-equal-sum-subsets
MEDIUM,Binary Tree Level Order Traversal,46.3,0.6941502120200976,https://leetcode.com/problems/binary-tree-level-order-traversal
MEDIUM,Task Scheduler,46.3,0.6080405305564733,https://leetcode.com/problems/task-scheduler
MEDIUM,Number of Islands,46.3,0.6120955098590548,https://leetcode.com/problems/number-of-islands
EASY,Palindrome Linked List,46.3,0.5483736752622672,https://leetcode.com/problems/palindrome-linked-list
MEDIUM,Minimum Limit of Balls in a Bag,46.3,0.6791986758631794,https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag
