Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Max Stack,100.0,0.4553177840865414,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
HARD,All O`one Data Structure,98.1,0.44134779761452186,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Nested List Weight Sum II,94.8,0.6557146449899617,https://leetcode.com/problems/nested-list-weight-sum-ii,"Stack, Depth-First Search, Breadth-First Search"
MEDIUM,Max Consecutive Ones III,86.1,0.6593936230765395,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
HARD,Word Ladder,78.7,0.42811826737370073,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
EASY,Valid Parentheses,78.7,0.42322822762811346,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Nested List Weight Sum,77.8,0.8554000344037734,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
MEDIUM,Number of Islands,75.8,0.6231992538801062,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Find the Celebrity,74.8,0.48438403563355176,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph, Interactive"
MEDIUM,Shortest Word Distance II,74.8,0.621334883686483,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
MEDIUM,Insert Delete GetRandom O(1),74.8,0.549918579117808,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,"Pow(x, n)",74.8,0.37023180307379455,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Maximum Subarray,73.6,0.5209977640581438,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Find Leaves of Binary Tree,72.5,0.810721302930833,https://leetcode.com/problems/find-leaves-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Can Place Flowers,69.8,0.2889926055078509,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
MEDIUM,Exclusive Time of Functions,68.4,0.6479177009848633,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack"
MEDIUM,Sort Transformed Array,66.8,0.5709273741238992,https://leetcode.com/problems/sort-transformed-array,"Array, Math, Two Pointers, Sorting"
MEDIUM,Search in Rotated Sorted Array,65.1,0.4283722138743466,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Maximize Subarrays After Removing One Conflicting Pair,65.1,0.3245154211873704,https://leetcode.com/problems/maximize-subarrays-after-removing-one-conflicting-pair,"Array, Segment Tree, Enumeration, Prefix Sum"
MEDIUM,Letter Combinations of a Phone Number,65.1,0.6385756647080152,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Paint House,63.2,0.6373080782394743,https://leetcode.com/problems/paint-house,"Array, Dynamic Programming"
MEDIUM,Binary Tree Upside Down,61.2,0.6450428958113502,https://leetcode.com/problems/binary-tree-upside-down,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Partition to K Equal Sum Subsets,58.9,0.3812602522279146,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
