Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Max Stack,100.0,0.4552418979170826,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
MEDIUM,Nested List Weight Sum II,92.3,0.6551191876002139,https://leetcode.com/problems/nested-list-weight-sum-ii,"Stack, Depth-First Search, Breadth-First Search"
HARD,All O`one Data Structure,90.9,0.4416301355645723,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Design Authentication Manager,78.8,0.5776455588610285,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,76.0,0.621995899255032,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Valid Parentheses,75.0,0.4224524139702213,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Maximum Product Subarray,75.0,0.34862831633709024,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Find the Celebrity,75.0,0.4840569194823294,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph, Interactive"
MEDIUM,Find Leaves of Binary Tree,72.8,0.8105717690848994,https://leetcode.com/problems/find-leaves-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Shortest Word Distance II,71.6,0.621062203087886,https://leetcode.com/problems/shortest-word-distance-ii,"Array, Hash Table, Two Pointers, String, Design"
HARD,Word Ladder,71.6,0.4262824499733852,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Maximum Subarray,71.6,0.5203998971002464,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Kth Largest Element in an Array,68.9,0.6790762692024515,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Nested List Weight Sum,67.4,0.8550338509826821,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
MEDIUM,Lowest Common Ancestor of a Binary Search Tree,65.8,0.6814188532555879,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Building H2O,65.8,0.5753099957823703,https://leetcode.com/problems/building-h2o,Concurrency
MEDIUM,Search in Rotated Sorted Array,65.8,0.42739839413312153,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Serialize and Deserialize Binary Tree,64.1,0.5884785233456278,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
MEDIUM,Find First and Last Position of Element in Sorted Array,64.1,0.46696592767995065,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Insert Delete GetRandom O(1),62.1,0.5496099777130121,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Can Place Flowers,62.1,0.2888467272725474,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
MEDIUM,Factor Combinations,62.1,0.5022966180417614,https://leetcode.com/problems/factor-combinations,Backtracking
MEDIUM,Binary Tree Upside Down,62.1,0.6444873585415337,https://leetcode.com/problems/binary-tree-upside-down,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Max Consecutive Ones III,62.1,0.6581595709795063,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Partition to K Equal Sum Subsets,62.1,0.38111596608630277,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
MEDIUM,LRU Cache,62.1,0.4507741446467329,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Letter Combinations of a Phone Number,60.0,0.6372997986718351,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Lowest Common Ancestor of a Binary Tree,60.0,0.6655717228511456,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Find Pivot Index,60.0,0.6045852331480364,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
EASY,Isomorphic Strings,60.0,0.4676869946131596,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
EASY,Maximum Depth of Binary Tree,57.7,0.7706586944563693,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Valid Perfect Square,57.7,0.4416070634172427,https://leetcode.com/problems/valid-perfect-square,"Math, Binary Search"
MEDIUM,Exclusive Time of Functions,57.7,0.6471090135540419,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack"
HARD,Closest Binary Search Tree Value II,57.7,0.6022666097384396,https://leetcode.com/problems/closest-binary-search-tree-value-ii,"Two Pointers, Stack, Tree, Depth-First Search, Binary Search Tree, Heap (Priority Queue), Binary Tree"
MEDIUM,Merge Intervals,57.7,0.49292460339417493,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Random Pick with Weight,55.0,0.48216197282101186,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Valid Triangle Number,55.0,0.5226373079783817,https://leetcode.com/problems/valid-triangle-number,"Array, Two Pointers, Binary Search, Greedy, Sorting"
MEDIUM,Evaluate Reverse Polish Notation,55.0,0.5478631241731137,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
