Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Reachable Nodes With Restrictions,100.0,0.5930186081627215,https://leetcode.com/problems/reachable-nodes-with-restrictions,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Length of Longest Subarray With at Most K Frequency,100.0,0.5587287629071374,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,"Array, Hash Table, Sliding Window"
MEDIUM,Longest Ideal Subsequence,100.0,0.47020541951087563,https://leetcode.com/problems/longest-ideal-subsequence,"Hash Table, String, Dynamic Programming"
HARD,Sum Of Special Evenly-Spaced Elements In Array,100.0,0.49233716475095785,https://leetcode.com/problems/sum-of-special-evenly-spaced-elements-in-array,"Array, Dynamic Programming"
HARD,First Missing Positive,94.5,0.4052997688691499,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Cheapest Flights Within K Stops,77.4,0.40000342887276397,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Jump Game,77.4,0.3905651137694125,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Spiral Matrix,70.3,0.5271694571038034,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Minimum Window Substring,70.3,0.4453674405507348,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Jump Game II,70.3,0.410748923993934,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
HARD,Trapping Rain Water,70.3,0.6412336468006672,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Generate Parentheses,70.3,0.7639659857141666,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Best Time to Buy and Sell Stock,60.3,0.546839861525721,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Merge Intervals,60.3,0.486952200541257,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Maximum Product Subarray,60.3,0.3445887566951685,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,60.3,0.36201710583101165,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Longest Valid Parentheses,60.3,0.35535532114924284,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
EASY,Majority Element,60.3,0.6545891066633674,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Product of Array Except Self,60.3,0.6731217824322807,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Increasing Triplet Subsequence,60.3,0.3919749078949829,https://leetcode.com/problems/increasing-triplet-subsequence,"Array, Greedy"
HARD,Reverse Nodes in k-Group,60.3,0.6182060216225959,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,LRU Cache,60.3,0.4426548401716294,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Permutations,60.3,0.8000941155526933,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Find First and Last Position of Element in Sorted Array,60.3,0.4601842194828805,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Evaluate Division,60.3,0.6267565097809095,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
