Difficulty,Title,Frequency,Acceptance Rate,Link
EASY,Pass the Pillow,100.0,0.5672711061640335,https://leetcode.com/problems/pass-the-pillow
HARD,Count Subarrays With Fixed Bounds,100.0,0.6777196096629151,https://leetcode.com/problems/count-subarrays-with-fixed-bounds
MEDIUM,Total Cost to Hire K Workers,86.6,0.4277845083494513,https://leetcode.com/problems/total-cost-to-hire-k-workers
HARD,Minimum Edge Reversals So Every Node Is Reachable,86.6,0.572848655961414,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable
MEDIUM,Remove Colored Pieces if Both Neighbors are the Same Color,75.9,0.6282830324544891,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color
MEDIUM,Minimum Cost Tree From Leaf Values,75.9,0.6770483857769609,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values
HARD,Last Substring in Lexicographical Order,75.9,0.34541304306815823,https://leetcode.com/problems/last-substring-in-lexicographical-order
HARD,Count Anagrams,75.9,0.3433489058273912,https://leetcode.com/problems/count-anagrams
EASY,Keyboard Row,75.9,0.7177399559266032,https://leetcode.com/problems/keyboard-row
MEDIUM,Maximum Palindromes After Operations,75.9,0.4277459783522774,https://leetcode.com/problems/maximum-palindromes-after-operations
EASY,Reshape the Matrix,75.9,0.6357624937217479,https://leetcode.com/problems/reshape-the-matrix
MEDIUM,Maximum Number of Alloys,75.9,0.3877068557919622,https://leetcode.com/problems/maximum-number-of-alloys
HARD,Earliest Second to Mark Indices II,75.9,0.20705509911811262,https://leetcode.com/problems/earliest-second-to-mark-indices-ii
MEDIUM,Earliest Second to Mark Indices I,75.9,0.35510670131506417,https://leetcode.com/problems/earliest-second-to-mark-indices-i
HARD,String Transformation,75.9,0.30123974588293345,https://leetcode.com/problems/string-transformation
MEDIUM,Break a Palindrome,75.9,0.5157598765271226,https://leetcode.com/problems/break-a-palindrome
